Gender,Family,Height,Father,Mother
female,190,59.0,65.0,65.0
male,191,70.7,65.0,65.5
female,191,65.5,65.0,65.5
male,192,69.2,65.0,65.0
male,192,69.0,65.0,65.0
male,192,68.0,65.0,65.0
male,192,67.7,65.0,65.0
female,192,64.5,65.0,65.0
female,192,60.5,65.0,65.0
male,193,67.0,65.0,64.0
male,193,67.0,65.0,64.0
female,193,64.0,65.0,64.0
female,193,64.0,65.0,64.0
female,193,62.5,65.0,64.0
female,193,60.5,65.0,64.0
male,194,70.0,65.0,63.0
female,194,63.0,65.0,63.0
male,195,66.0,65.0,63.0
male,195,66.0,65.0,63.0
female,195,63.0,65.0,63.0
male,196,71.0,65.5,63.0
male,196,71.0,65.5,63.0
male,196,69.0,65.5,63.0
female,196,63.5,65.5,63.0
male,197,68.0,65.5,60.0
male,197,68.0,65.5,60.0
male,197,67.0,65.5,60.0
male,197,67.0,65.5,60.0
female,197,62.0,65.5,60.0
male,198,71.5,64.0,64.0
male,198,68.0,64.0,64.0
female,198,65.5,64.0,64.0
female,198,64.0,64.0,64.0
female,198,62.0,64.0,64.0
female,198,62.0,64.0,64.0
female,198,61.0,64.0,64.0
male,199,70.5,64.0,64.0
male,199,68.0,64.0,64.0
female,199,67.0,64.0,64.0
female,199,65.0,64.0,64.0
female,199,64.0,64.0,64.0
female,199,64.0,64.0,64.0
female,199,60.0,64.0,64.0
male,200,64.5,64.0,63.0
male,201,66.0,64.0,60.0
female,201,60.0,64.0,60.0
female,202,68.5,63.0,63.5
female,202,63.0,63.0,63.5
male,203,64.0,62.0,66.0
female,203,62.0,62.0,66.0
female,203,61.0,62.0,66.0
male,204,66.5,62.5,63.0
female,204,57.0,62.5,63.0
male,205,72.0,68.5,65.0
male,205,70.5,68.5,65.0
male,205,68.7,68.5,65.0
male,205,68.5,68.5,65.0
male,205,67.7,68.5,65.0
female,205,64.0,68.5,65.0
female,205,63.5,68.5,65.0
female,205,63.0,68.5,65.0
