CommonName,Genus,Species,Group,BodyMass,ClutchVolume
White-bellied Redstart,Hodgsonius ,phoenicuroides,Mat,2.11E-02,8.09E+03
Common Nightingale,Luscinia ,megarhynchos,Mat,1.96E-02,1.06E+04
Indian Blue Robin,Luscinia ,brunnea ,Mat,1.75E-02,7.80E+03
Blue-capped Rock-Thrush,Monticola ,cinclorhynchus,BiP,3.60E-02,1.55E+04
Rufous-tailed Rock-Thrush,Monticola ,saxatilis,Mat,5.03E-02,2.00E+04
Black Redstart,Phoenicurus ,ochruros,Mat,1.65E-02,9.75E+03
Common Redstart,Phoenicurus ,phoenicurus,Mat,1.46E-02,1.03E+04
Plumbeous Redstart,Rhyacornis ,fuliginosus,Mat,2.04E-02,7.60E+03
Gray Bushchat,Saxicola ,ferrea,Mat,1.49E-02,7.87E+03
Red-flanked Bluetail,Tarsiger ,cyanurus ,Mat,1.35E-02,7.00E+03
Mistle Thrush,Turdus,viscivorus ,Mat,1.18E-01,2.96E+04
Song Thrush,Turdus ,philomelos,BiP,6.78E-02,2.60E+04
American Robin,Turdus ,migratorius,Mat,7.85E-02,2.33E+04
Eurasian Blackbird,Turdus ,merula,Mat,1.03E-01,2.65E+04
Yellow-bellied Elaenia,Elaenia ,flavogaster ,Mat,2.48E-02,4.70E+03
Great Crested Flycatcher,Myiarchus ,crinitus ,Mat,3.21E-02,1.60E+04
Tropical Kingbird,Tyrannus ,melancholicus,Mat,3.74E-02,1.65E+04
Hook-billed Vanga,Vanga ,curvirostris,BiP,6.45E-02,1.31E+04
Oriental White-eye,Zosterops ,palpebrosa,BiP,8.60E-03,3.04E+03
Anhinga,Anhinga ,anhinga ,BiP,1.24E+00,1.53E+05
Magnificent Frigatebird,Fregata ,magnificens ,BiP,1.41E+00,1.17E+05
Great White Pelican,Pelecanus,onocrotalus ,BiP,9.52E+00,3.16E+05
Red-billed Tropicbird,Phaethon,aethereus ,BiP,7.50E-01,5.17E+04
Great Cormorant,Phalacrocorax,carbo,BiP,2.57E+00,1.81E+05
Northern Gannet,Sula,bassanus,BiP,3.00E+00,8.57E+04
Greater Flamingo,Phoenicopterus ,ruber,BiP,3.07E+00,1.34E+05
Blue-throated Barbet,Megalaima ,asiatica ,BiP,9.05E-02,2.20E+04
Black Woodpecker,Dryocopus ,martius ,BiP,3.21E-01,5.13E+04
Great Crested Grebe,Podiceps,cristatus,BiP,6.74E-01,1.43E+05
Wandering Albatross,Diomedea ,exulans ,BiP,7.05E+00,4.47E+05
European Storm-Petrel,Hydrobates ,pelagicus,BiP,2.52E-02,5.89E+03
Common Diving-Petrel,Pelecanoides,urinatrix ,BiP,1.41E-01,1.91E+04
Bulwer's Petrel,Bulweria,bulwerii,BiP,9.90E-02,2.02E+04
Northern Fulmar,Fulmarus,glacialis,BiP,6.13E-01,8.88E+04
Rose-ringed Parakeet,Psittacula ,krameri ,BiP,1.17E-01,3.64E+04
Painted Sandgrouse,Pterocles,indicus ,BiP,1.79E-01,2.91E+04
Pin-tailed Sandgrouse,Pterocles,alchata,BiP,2.85E-01,5.51E+04
Pallas' Sandgrouse,Syrrhaptes ,paradoxus,BiP,2.57E-01,5.66E+04
King Penguin,Aptenodytes,patagonica,BiP,1.18E+01,2.86E+05
Eurasian Eagle-Owl,Bubo ,bubo,Mat,2.69E+00,2.87E+05
Barn Owl,Tyto ,alba,Mat,4.18E-01,1.14E+05
Greater Rhea,Rhea ,americana,Pat,2.30E+01,6.60E+06
Lesser Rhea,Rhea ,pennata,Pat,2.39E+01,1.42E+07
Ostrich,Struthio ,camelus,Pat,1.11E+02,2.21E+07
Brazilian Tinamou,Crypturellus,strigulosus,Pat,4.31E-01,1.36E+05
Little Tinamou,Crypturellus ,soui,Pat,2.07E-01,4.36E+04
Small-billed Tinamou,Crypturellus ,parvirostris,Pat,2.20E-01,7.44E+04
Tataupa Tinamou,Crypturellus ,tataupa,Pat,2.20E-01,9.38E+04
Thicket Tinamou,Crypturellus ,cinnamomeus,Pat,4.22E-01,2.24E+05
Undulated Tinamou,Crypturellus ,undulatus,Pat,5.67E-01,2.10E+05
Variegated Tinamou,Crypturellus ,variegatus ,Pat,3.17E-01,3.04E+04
Elegant Crested Tinamou,Eudromia,elegans,Pat,7.04E-01,2.63E+05
Highland Tinamou,Nothocercus ,bonapartei,Pat,9.25E-01,6.37E+05
Brushland Tinamou,Nothoprocta,cinerascens,Pat,5.26E-01,3.25E+05
Chilean Tinamou,Nothoprocta,perdicaria ,Pat,4.58E-01,2.12E+05
Ornate Tinamou,Nothoprocta,ornata ,Pat,6.22E-01,2.52E+05
Spotted Nothura,Nothura,maculosa ,Pat,2.58E-01,1.09E+05
Darwin's Nothura,Nothura ,darwinii,Pat,2.46E-01,1.22E+05
Red-winged Tinamou,Rhynchotus ,rufescens,Pat,8.45E-01,2.65E+05
Black Tinamou,Tinamus ,osgoodi,Pat,1.29E+00,1.97E+05
Gray Tinamou,Tinamus ,tao,Pat,1.60E+00,6.10E+05
Great Tinamou,Tinamus ,major,Pat,1.03E+00,3.07E+05
Solitary Tinamou,Tinamus ,solitarius ,Pat,1.39E+00,4.86E+05
Resplendent Quetzal,Pharomachrus,mocino,BiP,2.03E-01,2.51E+04
Citreoline Trogon,Trogon,citreolus,BiP,7.90E-02,2.31E+04
Amurosaurus,Lambeosaurine,riabinini,Othr,2.50E+03,9.22E+07
Maiasaura ,Maiasaura ,peeblesorum,Othr,2.50E+03,1.44E+07
Massospondylus,Massospondylus,carinatus,Othr,1.07E+02,6.78E+05
Oviraptor,Oviraptor,philoceratops,Mani,3.90E+01,7.14E+06
Lourinhanosaurus,Lourinhanosaurus,antunesi,Othr,1.76E+02,7.07E+06
Citipati,Citipati,osmolskae,Mani,7.92E+01,8.77E+06
Troodon,Troodon,formosus,Mani,5.14E+01,7.58E+06
Megaloolithus,Megaloolithus,patagonicus,Othr,5.00E+03,3.85E+07
Megaloolithus,Megaloolithus,sirguei,Othr,5.00E+03,4.15E+07
American Alligator,Alligator,mississippiensis,Croc,4.78E+01,2.54E+06
Broad-snouted Caiman,Caiman ,latirostris,Croc,1.46E+01,2.30E+06
Yacare Caiman,Caiman ,yacare,Croc,1.30E+01,2.23E+06
Black Caiman,Melanosuchus ,niger,Croc,8.20E+01,4.12E+06
Cuvier's Dwarf Caiman,Paleosuchus ,palpebrosus ,Croc,5.90E+00,8.11E+05
Smooth-fronted Caiman,Paleosuchus ,trigonatus ,Croc,7.50E+00,1.15E+06
American Crocodile,Crocodylus,acutus,Croc,7.67E+01,2.60E+06
Slender-snouted Crocodile,Crocodylus,cataphractus,Croc,5.05E+01,2.29E+06
Nile Crocodile,Crocodylus,niloticus,Croc,9.42E+01,4.31E+06
Marsh Crocodile,Crocodylus,palustris,Croc,4.27E+01,1.95E+06
Estuarine Crocodile,Crocodylus,porosus,Croc,7.87E+01,5.42E+06
Orinoco Crocodile,Crocodylus ,intermedius ,Croc,1.08E+02,4.97E+06
Freshwater Crocodile,Crocodylus ,johnsoni,Croc,1.95E+01,7.56E+05
Philippine Crocodile,Crocodylus ,mindorensis,Croc,3.69E+01,9.97E+05
Morelet's Crocodile,Crocodylus ,moreletti ,Croc,3.17E+01,2.71E+06
New Guinea Crocodile,Crocodylus ,novaeguineae,Croc,3.99E+01,2.16E+06
Dwarf Crocodile,Osteolaemus,tetraspis,Croc,1.88E+01,5.56E+05
Gharial,Gavialis ,gangeticus,Croc,1.47E+02,7.87E+06
False Gharial,Tomistoma,schlegelii,Croc,1.19E+02,5.38E+06
