Gene,GeneName,pValue
4266,AT2G43240,0.292559877
4267,AT2G43932,0.084443059
4268,AT2G45420,0.392560895
4269,AT2G46970,0.414985498
4270,AT3G02030,0.013656451
4271,AT3G02210,0.01710247
4272,AT3G03580,0.658169744
4273,AT3G06920,0.774753865
4274,AT3G07525,0.200246575
4275,AT3G07730,0.125813875
4276,AT3G09400,0.001910442
4277,AT3G11980,0.55154341
4278,AT3G12610,0.216529235
4279,AT3G13065,0.999982782
4280,AT3G14730,0.683077493
4281,AT3G15990,0.199531665
4282,AT3G17180,0.083062702
4283,AT3G20260,0.884935443
4284,AT3G21320,0.242021612
4285,AT3G23340,0.169213484
4286,AT3G24660,0.783460002
4287,AT3G26610,0.008551999
4288,AT3G43359,4.66E-08
4289,AT3G46668,0.056090722
4290,AT3G49020,1.90E-06
4291,AT3G49900,0.106091938
4292,AT3G50580,0.187083808
4293,AT3G50810,0.531741672
4294,AT3G51540,0.007329618
4295,AT3G51970,0.513168941
4296,AT3G54270,0.384794387
4297,AT3G54970,0.774753865
4298,AT3G55180,0.000316317
4299,AT3G55350,0.669609069
4300,AT3G56550,1
4301,AT3G56960,0.99999981
4302,AT3G57730,0.747767187
4303,AT3G57830,0.866100369
4304,AT3G58270,0.676950048
4305,AT3G59680,0.802505012
4306,AT3G60040,0.052481501
4307,AT3G60390,0.568278675
4308,AT3G62740,0.084443059
4309,AT4G02270,4.66E-08
4310,AT4G02280,0.593438155
4311,AT4G03156,0.000316317
4312,AT4G04130,0.106056161
4313,AT4G04180,0.713338908
4314,AT4G09950,0.830512636
4315,AT4G15370,0.669563003
4316,AT4G20340,0.08446495
4317,AT4G22610,0.197839467
4318,AT4G23280,0.092274109
4319,AT4G23900,0.669590903
4320,AT4G24175,0.513168941
4321,AT4G25990,0.407851874
4322,AT4G26810,0.162062015
4323,AT4G29730,0.999999952
4324,AT4G35740,0.615837629
4325,AT4G37950,0.619652502
4326,AT4G38050,1
4327,AT4G38320,0.773752999
4328,AT4G39610,0.855672524
4329,AT5G01310,0.210208752
4330,AT5G02540,0.090731651
4331,AT5G07322,0.094765855
4332,AT5G07700,0.669600256
4333,AT5G08340,0.70153617
4334,AT5G08780,0.615837629
4335,AT5G09600,1
4336,AT5G09950,0.223058303
4337,AT5G14620,0.999902602
4338,AT5G16860,0.831822865
4339,AT5G24280,0.612491916
4340,AT5G27210,0.188034329
4341,AT5G28673,0.594057716
4342,AT5G38344,0.11433417
4343,AT5G40600,0.018124454
4344,AT5G41540,0.084443059
4345,AT5G44040,0.306545864
4346,AT5G44416,0.19321263
4347,AT5G44430,0.005407832
4348,AT5G46680,0.625102935
4349,AT5G46870,0.26493261
4350,AT5G47250,0.085065511
4351,AT5G48460,0.306773247
4352,AT5G48650,0.754399578
4353,AT5G49920,0.487502069
4354,AT5G56230,0.084467641
4355,AT5G57785,0.359146334
4356,AT5G58840,0.086274998
4357,AT5G59170,0.876489076
4358,AT5G59800,0.092873129
4359,AT5G60805,0.669563003
4360,AT5G61350,0.669610341
4361,AT5G62240,0.206098295
4362,AT5G62860,0.669610197
4363,AT5G64910,0.701223513
4364,AT5G66005,0.127752634
4365,AT5G67140,0.267598344
4366,AT5G67310,0.490793931
4367,AT1G03200,0.261886584
4368,AT1G03470,0.896531
4369,AT1G05400,0.826435654
4370,AT1G05575,0.483798161
4371,AT1G09440,0.659650437
4372,AT1G11290,0.887263938
4373,AT1G13310,0.150727034
4374,AT1G14730,0.306641647
4375,AT1G14770,0.541929523
4376,AT1G18400,0.15665413
4377,AT1G20350,0.677435003
4378,AT1G20690,0.789949024
4379,AT1G23890,0.448359734
4380,AT1G29710,0.507460746
4381,AT1G30290,0.606570248
4382,AT1G33460,0.337246229
4383,AT1G33760,0.006601551
4384,AT1G47820,0.057170046
4385,AT1G49530,0.888276967
4386,AT1G53230,0.091511144
4387,AT1G55152,0.481973215
4388,AT1G56350,0.569626098
4389,AT1G58227,0.367562408
4390,AT1G58430,0.530953971
4391,AT1G61810,0.530977502
4392,AT1G61970,0.753815425
4393,AT1G62333,0.827607609
4394,AT1G65032,0.100755485
4395,AT1G67520,0.014545551
4396,AT1G69790,0.834800345
4397,AT1G70895,0.604919261
4398,AT1G73020,0.706628545
4399,AT1G74390,0.38374963
4400,AT1G74580,0.749852193
4401,AT1G76065,0.00739066
4402,AT1G77990,0.477616744
4403,AT1G79710,0.531042254
4404,AT1G79840,0.295211266
4405,AT1G80150,0.135854251
4406,AT1G80760,0.643756897
4407,AT1G80865,0.530953971
4408,AT2G04510,0.035920142
4409,AT2G04795,0.876172508
4410,AT2G07683,0.701925759
4411,AT2G07774,0.531035576
4412,AT2G11880,0.293409691
4413,AT2G17900,0.559498094
4414,AT2G23170,0.03225271
4415,AT2G24250,0.295227199
4416,AT2G24730,0.160748667
4417,AT2G28580,0.295136724
4418,AT2G28650,0.116271261
4419,AT2G29890,0.048932588
4420,AT2G30650,0.716260003
4421,AT2G31270,0.132555361
4422,AT2G31725,0.674175714
4423,AT2G34400,0.922025546
4424,AT2G35736,0.653511816
4425,AT2G36710,0.531142847
4426,AT2G38570,0.091132302
4427,AT2G41330,0.45902475
4428,AT3G02930,0.196384311
4429,AT3G05740,0.595346271
4430,AT3G06100,0.283816778
4431,AT3G08520,0.442805538
4432,AT3G11080,0.171606684
4433,AT3G11210,0.141222796
4434,AT3G13400,0.313676644
4435,AT3G14540,0.295135853
4436,AT3G14940,0.295224737
4437,AT3G15200,0.915285331
4438,AT3G16150,0.295865126
4439,AT3G16175,0.50712865
4440,AT3G16620,0.141216124
4441,AT3G17920,0.228637514
4442,AT3G18850,0.137998003
4443,AT3G20170,0.868394807
4444,AT3G21890,0.080990354
4445,AT3G22810,0.019688511
4446,AT3G24670,0.234103403
4447,AT3G24927,0.029670945
4448,AT3G26540,0.322600962
4449,AT3G26782,0.006394512
4450,AT3G27860,0.426512016
4451,AT3G28160,0.024772196
4452,AT3G44690,0.081023136
4453,AT3G45650,0.001640468
4454,AT3G46385,0.358291918
4455,AT3G50350,0.696679803
4456,AT3G51070,0.724838458
4457,AT3G53760,0.900385537
4458,AT3G53860,0.869139964
4459,AT3G57700,0.425195645
4460,AT3G59580,0.490708167
4461,AT3G61520,0.833198502
4462,AT4G01020,0.347730879
4463,AT4G02425,0.40846017
4464,AT4G02460,0.642737959
4465,AT4G02780,0.833673916
4466,AT4G02900,0.244660038
4467,AT4G03010,0.531019679
4468,AT4G03240,0.383967453
4469,AT4G03440,0.765815717
4470,AT4G03635,0.712964031
4471,AT4G05130,0.681867501
4472,AT4G08053,0.833673916
4473,AT4G08380,0.833198505
4474,AT4G09970,0.531039944
4475,AT4G11130,0.392471512
4476,AT4G12130,0.896531
4477,AT4G15417,1.64E-08
4478,AT4G17460,0.00831474
4479,AT4G17970,0.584486775
4480,AT4G18780,0.283816778
4481,AT4G18970,0.344366436
4482,AT4G21200,0.02873691
4483,AT4G29910,0.867961978
4484,AT4G30400,0.124539044
4485,AT4G35170,0.197909739
4486,AT4G37010,0.531038097
4487,AT4G38215,0.581492328
4488,AT5G07310,0.559498094
4489,AT5G12110,0.826435654
4490,AT5G13870,0.531038098
4491,AT5G15140,0.337246229
4492,AT5G15770,0.887263938
4493,AT5G18770,0.674175714
4494,AT5G24290,0.595820183
4495,AT5G25480,0.293409691
4496,AT5G35753,0.867961978
4497,AT5G42340,0.295135853
4498,AT5G45940,0.834805365
4499,AT5G48040,0.525076846
4500,AT5G48070,0.005502565
4501,AT5G48290,0.729631114
4502,AT5G48900,0.931388887
4503,AT5G53830,0.531041486
4504,AT5G55370,0.530716598
4505,AT5G56050,0.421739623
4506,AT5G56330,1.64E-08
4507,AT5G57410,0.241413093
4508,AT5G57640,0.238073645
4509,AT5G58610,0.217151334
4510,AT5G60210,0.892854844
4511,AT5G60430,0.078327294
4512,AT5G61430,0.360399105
4513,AT5G61550,0.251440105
4514,AT5G63630,0.057170046
4515,AT5G63930,0.046836749
4516,AT5G66630,0.344648507
4517,AT5G67460,0.558045624
4518,AT1G03410,0.078494189
4519,AT1G04100,0.0475794
4520,AT1G06475,0.361777662
4521,AT1G06590,0.03254068
4522,AT1G11230,0.868273905
4523,AT1G15300,0.007543119
4524,AT1G21326,0.1987738
4525,AT1G22760,0.781890932
4526,AT1G26900,0.682917812
4527,AT1G27710,0.520217526
4528,AT1G31175,0.99999981
4529,AT1G33080,0.812282496
4530,AT1G38212,0.188543771
4531,AT1G42310,0.573579308
4532,AT1G43140,0.099108072
4533,AT1G43777,0.537685854
4534,AT1G44510,0.281649401
4535,AT1G47520,0.191564048
4536,AT1G48780,0.224120597
4537,AT1G49770,0.681310085
4538,AT1G53070,0.648600616
4539,AT1G54120,0.350029148
4540,AT1G55320,0.834654978
4541,AT1G56242,0.413063202
4542,AT1G60860,0.012168693
4543,AT1G61500,0.509559914
4544,AT1G63030,0.099108072
4545,AT1G63470,0.682929361
4546,AT1G69050,0.007543119
4547,AT1G73450,0.014533715
4548,AT1G74120,0.163235585
4549,AT1G75780,0.002583018
4550,AT1G76720,0.00407099
4551,AT1G79900,0.064880119
4552,AT2G06902,0.180631036
4553,AT2G07540,0.171307635
4554,AT2G19620,0.17859028
4555,AT2G20940,0.396986078
4556,AT2G25600,0.00566038
4557,AT2G27590,0.24779051
4558,AT2G27610,0.063470403
4559,AT2G29430,0.014122261
4560,AT2G31650,0.175284055
4561,AT2G34670,0.423520304
4562,AT2G37790,0.004285579
4563,AT2G40330,0.520253669
4564,AT2G40980,0.10029959
4565,AT2G41590,0.099260149
4566,AT2G42370,0.041558683
4567,AT2G42870,0.875379874
4568,AT2G47500,0.155322116
4569,AT2G47570,0.099108072
4570,AT3G03820,0.048225788
4571,AT3G07060,0.090821634
4572,AT3G11745,0.602539749
4573,AT3G11750,0.413134303
4574,AT3G18090,1
4575,AT3G18320,0.297464354
4576,AT3G18524,0.86196167
4577,AT3G18610,0.158032674
4578,AT3G20830,0.321162428
4579,AT3G20850,0.420351352
4580,AT3G21481,0.413114865
4581,AT3G24880,0.320119247
4582,AT3G27520,0.596336188
4583,AT3G30465,0.595204953
4584,AT3G31425,0.999951301
4585,AT3G32026,0.682883814
4586,AT3G48390,0.639607503
4587,AT3G52525,0.162322059
4588,AT3G56450,0.708030341
4589,AT3G59390,0.2164901
4590,AT3G59530,0.68290825
4591,AT3G60400,0.079769472
4592,AT3G60580,0.603119185
4593,AT3G62170,0.68326762
4594,AT4G00310,0.312841987
4595,AT4G06735,8.74E-08
4596,AT4G10690,0.283310984
4597,AT4G11390,0.682768295
4598,AT4G14301,0.127318917
4599,AT4G14770,0.999999933
4600,AT4G17215,0.263186037
4601,AT4G20310,0.107440781
4602,AT4G20940,0.020688442
4603,AT4G21170,0.00464013
4604,AT4G27490,0.26550392
4605,AT4G34340,0.77382866
4606,AT4G34420,0.413063202
4607,AT4G34600,0.813252656
4608,AT4G35290,0.390428486
4609,AT4G35970,0.250290031
4610,AT4G39720,0.112690493
4611,AT4G39770,0.999999918
4612,AT5G03530,0.598379617
4613,AT5G03890,0.099197818
4614,AT5G09730,0.174744182
4615,AT5G10370,0.487435731
4616,AT5G11425,0.328024858
4617,AT5G15340,0.496709644
4618,AT5G16490,0.249786005
4619,AT5G19600,0.776839742
4620,AT5G24170,0.056893935
4621,AT5G27750,0.537972859
4622,AT5G38240,0.130794674
4623,AT5G41160,0.001222212
4624,AT5G47500,0.831892493
4625,AT5G48140,0.012228617
4626,AT5G51130,0.305027798
4627,AT5G54165,0.999999905
4628,AT5G56310,0.413131744
4629,AT5G58000,0.224120597
4630,AT5G60730,0.368928334
4631,AT5G63010,0.757006532
4632,AT5G65570,0.162104679
4633,AT5G66310,0.999999933
4634,AT1G02950,0.157840752
4635,AT1G03820,0.330011257
4636,AT1G03980,0.941228694
4637,AT1G06770,0.449029324
4638,AT1G06790,0.548019313
4639,AT1G07615,0.841454582
4640,AT1G08115,0.1356492
4641,AT1G13780,0.638442488
4642,AT1G14120,0.842218166
4643,AT1G15410,0.203611679
4644,AT1G15890,0.25141965
4645,AT1G19790,0.612744756
4646,AT1G20120,0.656772829
4647,AT1G23240,0.025213759
4648,AT1G29350,0.0119588
4649,AT1G35880,0.06867668
4650,AT1G36441,0.548161567
4651,AT1G43800,0.937971014
4652,AT1G43960,0.833236172
4653,AT1G47670,0.179058091
4654,AT1G48170,0.869929466
4655,AT1G49440,0.007701885
4656,AT1G49920,0.824027689
4657,AT1G53700,0.007695302
4658,AT1G61130,0.007701885
4659,AT1G62045,0.704026876
4660,AT1G64625,0.256201138
4661,AT1G64780,0.128580452
4662,AT1G65510,0.369065515
4663,AT1G66400,0.32311167
4664,AT1G67420,0.122183353
4665,AT1G72070,0.082323707
4666,AT1G72690,0.158404332
4667,AT1G73970,0.417526616
4668,AT1G75580,0.034513402
4669,AT1G77310,0.794031139
4670,AT2G01860,0.925997298
4671,AT2G02790,0.158710559
4672,AT2G04040,0.012004951
4673,AT2G06220,0.841635019
4674,AT2G06255,0.718920036
4675,AT2G15040,0.450836731
4676,AT2G17780,0.158717761
4677,AT2G23040,0.025213759
4678,AT2G25350,0.033173569
4679,AT2G26310,0.945796119
4680,AT2G26355,0.070673601
4681,AT2G27240,0.315606948
4682,AT2G28210,0.306256706
4683,AT2G28440,0.603154978
4684,AT2G29570,0.841460714
4685,AT2G29680,0.103649186
4686,AT2G30350,0.302230593
4687,AT2G30432,0.79927341
4688,AT2G31320,0.195074068
4689,AT2G34140,0.548037421
4690,AT2G34170,0.002554131
4691,AT2G35658,0.030307843
4692,AT2G35660,0.884907528
4693,AT2G40740,0.002942189
4694,AT2G42170,0.757871546
4695,AT2G42485,0.008844085
4696,AT2G43190,0.651806908
4697,AT2G44020,0.015660891
4698,AT2G47860,0.242617342
4699,AT3G03190,0.008397439
4700,AT3G05685,0.484634043
4701,AT3G08570,0.932360665
4702,AT3G11490,0.846475494
4703,AT3G11570,0.369845132
4704,AT3G12710,0.710973959
4705,AT3G13030,0.68236469
4706,AT3G13845,0.334825333
4707,AT3G14460,0.146023209
4708,AT3G17710,0.106720463
4709,AT3G19508,0.176011201
4710,AT3G28857,0.068671935
4711,AT3G29280,0.419755309
4712,AT3G30841,0.867333981
4713,AT3G44730,0.024989344
4714,AT3G44970,0.56368777
4715,AT3G45750,0.083144813
4716,AT3G45930,0.841454586
4717,AT3G48940,0.54797754
4718,AT3G50150,0.025213759
4719,AT3G50280,0.885806612
4720,AT3G58690,0.158722779
4721,AT3G59520,0.841449708
4722,AT3G60180,0.806627498
4723,AT3G61740,0.862005977
4724,AT3G62620,0.327628557
4725,AT4G03290,5.39E-05
4726,AT4G11430,0.575369432
4727,AT4G11440,0.31567381
4728,AT4G13572,0.074559178
4729,AT4G13650,0.002554131
4730,AT4G13970,0.410243786
4731,AT4G14600,0.239858781
4732,AT4G15730,0.520962259
4733,AT4G15850,0.081723719
4734,AT4G16805,0.491681137
4735,AT4G17350,0.412360387
4736,AT4G18460,0.84146921
4737,AT4G20290,0.025213759
4738,AT4G21780,0.636299687
4739,AT4G24415,0.398383816
4740,AT4G25434,0.014019347
4741,AT4G27654,0.736915384
4742,AT4G29230,0.548037198
4743,AT4G30845,0.018571547
4744,AT4G32175,0.756585619
4745,AT4G36850,0.837595439
4746,AT4G37100,0.069279749
4747,AT4G37750,0.407653161
4748,AT4G37850,0.296769727
4749,AT4G38010,0.452575
4750,AT4G38080,0.845094391
4751,AT5G05130,0.841464452
4752,AT5G07490,0.315689724
4753,AT5G07842,0.841635017
4754,AT5G10620,0.249229286
4755,AT5G13660,0.218487133
4756,AT5G15010,0.160188614
4757,AT5G17620,0.065545336
4758,AT5G20400,0.12267165
4759,AT5G23270,0.841131894
4760,AT5G24040,0.000371348
4761,AT5G25800,0.158721852
4762,AT5G31511,0.410273279
4763,AT5G38690,0.110377528
4764,AT5G38780,0.007393248
4765,AT5G39660,0.286682467
4766,AT5G41440,0.315524317
4767,AT5G42880,0.446074764
4768,AT5G43170,0.036713314
4769,AT5G43910,0.701696253
4770,AT5G44740,0.440847405
4771,AT5G45310,0.219487216
4772,AT5G49010,0.382566962
4773,AT5G50315,0.846807986
4774,AT5G51730,0.841452357
4775,AT5G51930,0.547957104
4776,AT5G54240,0.763530958
4777,AT5G54590,0.012004951
4778,AT5G62410,0.776170476
4779,AT5G66455,0.068702481
4780,AT1G01670,0.267498546
4781,AT1G06560,0.287464533
4782,AT1G10160,0.171562381
4783,AT1G12244,0.016990272
4784,AT1G14660,0.579700753
4785,AT1G15405,0.822514007
4786,AT1G17020,0.999951301
4787,AT1G19240,0.237207106
4788,AT1G24070,0.074969368
4789,AT1G28700,0.518643593
4790,AT1G29050,0.239825383
4791,AT1G32950,0.431864968
4792,AT1G34170,0.113619624
4793,AT1G36180,0.773425653
4794,AT1G43060,0.595920968
4795,AT1G46480,0.598307295
4796,AT1G51220,0.109231009
4797,AT1G60660,0.666713594
4798,AT1G60960,0.711885656
4799,AT1G63020,0.020354317
4800,AT1G64470,0.583545644
4801,AT1G65900,0.006919795
4802,AT1G66520,0.768338213
4803,AT1G67340,0.756441928
4804,AT1G68238,0.431844392
4805,AT1G69210,0.397951378
4806,AT1G71060,0.016882107
4807,AT1G71430,0.007284237
4808,AT1G78810,0.174449151
4809,AT2G04260,0.046934458
4810,AT2G07706,0.180869609
4811,AT2G13580,0.055775655
4812,AT2G17370,0.132702803
4813,AT2G18196,0.085096181
4814,AT2G18500,0.182241985
4815,AT2G19350,0.237193448
4816,AT2G28560,0.694712723
4817,AT2G28590,0.303289701
4818,AT2G30505,0.622556751
4819,AT2G30910,0.303289701
4820,AT2G33500,0.101519775
4821,AT2G33735,0.016160491
4822,AT2G37330,0.11370572
4823,AT2G41550,0.53875746
4824,AT2G44750,0.455097213
4825,AT3G04360,0.380624554
4826,AT3G04420,0.685117569
4827,AT3G05890,0.879263242
4828,AT3G08980,0.416442393
4829,AT3G11600,0.999999865
4830,AT3G12750,0.205248568
4831,AT3G21400,0.034186746
4832,AT3G21480,0.722586578
4833,AT3G25573,0.698064687
4834,AT3G25620,0.694740045
4835,AT3G26110,0.04687607
4836,AT3G27170,0.519673307
4837,AT3G28740,0.617914993
4838,AT3G44096,0.43188343
4839,AT3G50780,0.694736387
4840,AT3G51530,0.526793975
4841,AT3G53010,0.624000309
4842,AT3G56440,0.272913786
4843,AT3G57140,0.034186746
4844,AT3G57680,0.22996872
4845,AT3G58900,0.694751714
4846,AT3G63060,0.176283658
4847,AT4G00190,0.444245276
4848,AT4G00870,0.126843268
4849,AT4G02660,0.195992803
4850,AT4G04520,0.046945475
4851,AT4G06593,0.613489211
4852,AT4G08078,0.616948674
4853,AT4G09520,0.040694024
4854,AT4G10507,0.001140848
4855,AT4G11080,0.23548291
4856,AT4G15070,0.016475666
4857,AT4G15230,0.271306825
4858,AT4G18770,0.536212913
4859,AT4G21500,0.285741766
4860,AT4G23800,0.177032588
4861,AT4G26890,0.259480043
4862,AT4G27595,0.327321784
4863,AT4G30560,0.173640795
4864,AT4G32450,0.311233382
4865,AT4G34790,0.237225764
4866,AT4G35905,0.595450029
4867,AT4G39570,0.89366862
4868,AT5G01050,0.224161486
4869,AT5G03100,0.071805773
4870,AT5G04347,0.431796622
4871,AT5G07730,0.127673378
4872,AT5G09350,0.452411783
4873,AT5G14380,0.830266844
4874,AT5G15110,0.380598295
4875,AT5G18245,0.147245182
4876,AT5G19260,0.497892331
4877,AT5G19800,0.252289085
4878,AT5G20970,0.785559525
4879,AT5G23530,0.343511501
4880,AT5G26673,0.016441123
4881,AT5G28490,0.617914993
4882,AT5G31989,2.12E-07
4883,AT5G35520,0.442381677
4884,AT5G37670,0.800408709
4885,AT5G38590,0.449986842
4886,AT5G41315,0.237472021
4887,AT5G43822,0.047168629
4888,AT5G45020,0.583545644
4889,AT5G45275,0.301016173
4890,AT5G45760,0.694753912
4891,AT5G46510,0.431860532
4892,AT5G49990,0.431857773
4893,AT5G51350,0.024781628
4894,AT5G51560,0.059262528
4895,AT5G55170,0.19115611
4896,AT5G56747,0.06666006
4897,AT5G58550,0.694743117
4898,AT5G59980,0.511666838
4899,AT5G62820,0.165509593
4900,AT5G64890,0.109231009
4901,AT5G65400,0.46419945
4902,AT5G65740,0.018845499
4903,AT1G03360,0.012942009
4904,AT1G05160,0.612323799
4905,AT1G05690,0.250214737
4906,AT1G11300,0.755859587
4907,AT1G15310,0.26256999
4908,AT1G18030,0.563301803
4909,AT1G26210,0.148523168
4910,AT1G27410,0.423558186
4911,AT1G28620,0.002554908
4912,AT1G31460,0.577689618
4913,AT1G33415,0.909756662
4914,AT1G33440,0.087192519
4915,AT1G44120,0.708595022
4916,AT1G49070,1.62E-05
4917,AT1G51120,0.693891399
4918,AT1G53540,0.004026947
4919,AT1G53600,0.738186587
4920,AT1G53790,0.714990155
4921,AT1G58470,0.160555776
4922,AT1G61065,0.095991887
4923,AT1G61820,0.292971374
4924,AT1G63250,0.334532263
4925,AT1G66700,0.082908822
4926,AT1G75290,0.623162325
4927,AT1G78260,0.037595451
4928,AT1G79630,0.175460989
4929,AT1G80900,0.451513365
4930,AT2G03720,0.090474898
4931,AT2G04420,0.413601131
4932,AT2G11770,0.235912067
4933,AT2G16018,0.470246012
4934,AT2G16190,0.563347584
4935,AT2G17650,0.891872898
4936,AT2G17975,0.563304583
4937,AT2G19280,0.45859072
4938,AT2G20770,0.289695329
4939,AT2G21010,0.853379501
4940,AT2G21050,0.717685447
4941,AT2G21195,0.175454415
4942,AT2G21350,0.847383669
4943,AT2G23180,0.135106708
4944,AT2G23670,0.334315582
4945,AT2G29050,0.708595022
4946,AT2G30660,0.000121111
4947,AT2G35140,0.33432616
4948,AT2G42480,0.370291104
4949,AT2G46290,0.308506753
4950,AT3G03680,0.241983963
4951,AT3G04450,0.015740317
4952,AT3G06020,0.321331884
4953,AT3G07190,0.205994299
4954,AT3G08820,0.873910882
4955,AT3G09790,0.675319196
4956,AT3G10310,0.846405914
4957,AT3G10440,0.615224811
4958,AT3G13674,0.47969569
4959,AT3G20010,0.033182039
4960,AT3G20640,0.262859334
4961,AT3G22121,0.381392816
4962,AT3G25010,0.688940612
4963,AT3G25030,0.022693763
4964,AT3G27580,0.221403144
4965,AT3G42640,0.344072059
4966,AT3G44245,0.847357354
4967,AT3G47460,0.046839983
4968,AT3G48550,0.4668776
4969,AT3G48640,0.067797909
4970,AT3G52550,0.847357354
4971,AT3G56640,0.762220696
4972,AT3G59320,0.32468623
4973,AT3G60150,0.528063742
4974,AT3G62000,0.609976879
4975,AT3G62080,0.423558186
4976,AT3G63300,0.232950728
4977,AT3G63450,0.33453177
4978,AT4G03140,0.596908899
4979,AT4G05631,3.98E-08
4980,AT4G07516,0.675319196
4981,AT4G17800,0.766308828
4982,AT4G17915,0.208660936
4983,AT4G18501,0.951082152
4984,AT4G26180,0.741561383
4985,AT4G39360,0.845994003
4986,AT5G07780,0.098667081
4987,AT5G09990,0.002429597
4988,AT5G15030,0.942034605
4989,AT5G15802,0.847379856
4990,AT5G18670,0.375985868
4991,AT5G22820,0.572753111
4992,AT5G25910,0.010821642
4993,AT5G28232,0.846888953
4994,AT5G30276,0.211139022
4995,AT5G43140,0.921258893
4996,AT5G44830,0.191972182
4997,AT5G47340,0.031695553
4998,AT5G50360,0.050902791
4999,AT5G51050,0.17546071
5000,AT5G51370,0.003988931
5001,AT5G52250,0.00296934
5002,AT5G59580,0.233379562
5003,AT5G59680,0.010493458
5004,AT5G62100,0.250579093
5005,AT5G62730,0.504855106
5006,AT5G66290,0.69492333
5007,AT1G01660,0.024084423
5008,AT1G05210,1
5009,AT1G05370,0.734519058
5010,AT1G06180,0.337891583
5011,AT1G08840,0.062819358
5012,AT1G11080,0.127820172
5013,AT1G20380,0.347261952
5014,AT1G21650,0.448911101
5015,AT1G23100,0.854476116
5016,AT1G27170,0.082617319
5017,AT1G32370,0.705346982
5018,AT1G36440,0.884862757
5019,AT1G37030,0.060895682
5020,AT1G52618,0.700975015
5021,AT1G52855,0.661053527
5022,AT1G54160,0.705349242
5023,AT1G54650,0.047566524
5024,AT1G61170,0.055974111
5025,AT1G62800,0.328442253
5026,AT1G64760,0.431806251
5027,AT1G64940,0.143339588
5028,AT1G65585,0.001825654
5029,AT1G73590,0.823460601
5030,AT1G73830,0.705367341
5031,AT1G73850,0.83294762
5032,AT1G74780,0.451247722
5033,AT1G77960,0.169181507
5034,AT1G78530,0.525591149
5035,AT2G01760,0.203126035
5036,AT2G01905,0.006803968
5037,AT2G03410,0.705334142
5038,AT2G06440,0.899779529
5039,AT2G15250,0.449275875
5040,AT2G18115,0.491704756
5041,AT2G22690,0.799042772
5042,AT2G26520,0.764812522
5043,AT2G30080,0.705340367
5044,AT2G31180,0.881208932
5045,AT2G32030,0.144997344
5046,AT2G32960,0.4156065
5047,AT2G33670,8.87E-06
5048,AT2G34230,0.427070016
5049,AT2G35730,0.65243975
5050,AT2G37090,0.788478419
5051,AT2G38304,0.254892717
5052,AT2G38460,0.075317551
5053,AT2G44995,0.156498278
5054,AT2G46410,0.799927626
5055,AT2G47270,0.006799943
5056,AT3G01200,0.128382547
5057,AT3G01410,0.131140766
5058,AT3G04750,0.007488834
5059,AT3G05690,0.318240332
5060,AT3G12770,0.793134521
5061,AT3G14890,0.405716448
5062,AT3G17080,0.124337346
5063,AT3G17626,0.145444453
5064,AT3G23020,0.27981431
5065,AT3G23730,0.70533854
5066,AT3G26940,0.448864104
5067,AT3G27940,0.07012334
5068,AT3G46370,0.006240911
5069,AT3G51750,0.11365604
5070,AT3G52490,0.184475178
5071,AT3G53600,0.196794027
5072,AT3G56320,0.817824001
5073,AT3G59010,0.009008883
5074,AT4G13920,0.060574791
5075,AT4G14660,0.55300868
5076,AT4G17440,0.065399247
5077,AT4G27460,0.448662347
5078,AT4G28020,0.705349388
5079,AT4G28703,0.146438448
5080,AT4G29340,0.905589613
5081,AT4G30230,0.157461147
5082,AT4G34840,0.138030237
5083,AT4G35640,0.19683456
5084,AT4G36910,0.719280602
5085,AT4G37110,0.790519232
5086,AT4G37390,0.145560011
5087,AT5G02910,0.527474018
5088,AT5G03110,0.004294324
5089,AT5G03780,0.344552803
5090,AT5G05830,0.133113857
5091,AT5G08640,0.999940356
5092,AT5G13470,1
5093,AT5G14770,0.255002938
5094,AT5G15240,0.850648874
5095,AT5G15710,0.999999918
5096,AT5G15920,0.764272646
5097,AT5G16190,0.171518952
5098,AT5G16870,0.70534841
5099,AT5G17330,0.003255191
5100,AT5G18700,0.773833727
5101,AT5G19740,3.78E-10
5102,AT5G25410,0.448601472
5103,AT5G31807,0.999982782
5104,AT5G35450,0.314117108
5105,AT5G39840,0.745625976
5106,AT5G43730,0.035987886
5107,AT5G49960,0.152625611
5108,AT5G56590,0.999978913
5109,AT5G58003,0.385827085
5110,AT5G58990,0.451665461
5111,AT5G61540,0.109576152
5112,AT5G67160,0.261806602
5113,AT1G02570,0.749637838
5114,AT1G05785,0.248766788
5115,AT1G09290,0.694352244
5116,AT1G09420,0.036379707
5117,AT1G10040,0.922018722
5118,AT1G13650,0.039233629
5119,AT1G16750,0.140616691
5120,AT1G17600,0.243590834
5121,AT1G20540,0.894370043
5122,AT1G20550,0.540518826
5123,AT1G31010,0.303550747
5124,AT1G31335,0.852677468
5125,AT1G43770,0.887781536
5126,AT1G45120,0.172873033
5127,AT1G52520,0.185035232
5128,AT1G53345,0.028652697
5129,AT1G53633,0.66124948
5130,AT1G58225,0.399093303
5131,AT1G65920,0.446468156
5132,AT1G66810,0.852629958
5133,AT1G67105,0.35189837
5134,AT1G68640,0.191134388
5135,AT1G69680,0.271254515
5136,AT1G70650,0.091954793
5137,AT1G72840,0.64149882
5138,AT1G73280,0.038562259
5139,AT1G73790,0.495289351
5140,AT1G76340,0.361145696
