Region,MetropolitanStatus,Age,EducationCategory,EducationCode,Race,WeeklyEarnings
Northeast,Metropolitan,47,HighSchoolDiploma,39,White,880
West,Metropolitan,52,SomeCollegeButNoDegree,40,White,1000
South,Not Metropolitan,38,BachelorsDegree,43,White,1057.69
Midwest,Not Metropolitan,38,HighSchoolDiploma,39,White,1100
Northeast,Metropolitan,29,BachelorsDegree,43,White,1369.14
West,Not Identified,38,FifthorSixthGrade,33,White,355
South,Metropolitan,61,EleventhGrade,37,Black,520
West,Metropolitan,46,BachelorsDegree,43,White,784.61
West,Metropolitan,28,SomeCollegeButNoDegree,40,White,2115.38
West,Metropolitan,47,BachelorsDegree,43,White,2115.38
Midwest,Metropolitan,54,SomeCollegeButNoDegree,40,White,1176
Midwest,Metropolitan,53,HighSchoolDiploma,39,White,720
West,Not Metropolitan,29,HighSchoolDiploma,39,White,1100
West,Metropolitan,45,FifthorSixthGrade,33,White,400
Northeast,Metropolitan,37,DoctorateDegree,46,White,1923
South,Metropolitan,25,MastersDegree,44,Black,400
South,Metropolitan,24,BachelorsDegree,43,White,400
West,Metropolitan,61,BachelorsDegree,43,Black,1538.46
South,Metropolitan,59,MastersDegree,44,White,2019
South,Not Metropolitan,74,HighSchoolDiploma,39,White,400
South,Metropolitan,29,AssocDegAcadem,42,Black,2884.61
West,Metropolitan,44,AssocDegOccupVocat,41,White,480
Northeast,Metropolitan,50,HighSchoolDiploma,39,White,880
Midwest,Metropolitan,57,AssocDegOccupVocat,41,Black,961.53
Northeast,Metropolitan,45,HighSchoolDiploma,39,White,1575
West,Metropolitan,23,HighSchoolDiploma,39,White,592
South,Not Metropolitan,45,HighSchoolDiploma,39,White,865.38
South,Metropolitan,58,BachelorsDegree,43,White,1730.76
South,Not Metropolitan,51,HighSchoolDiploma,39,White,1153
Midwest,Metropolitan,43,BachelorsDegree,43,White,826.92
West,Metropolitan,40,BachelorsDegree,43,White,2884.61
South,Metropolitan,28,ProfSchoolDegree,45,White,807.69
West,Metropolitan,60,MastersDegree,44,White,980.76
West,Metropolitan,45,BachelorsDegree,43,White,1512
Midwest,Metropolitan,54,HighSchoolDiploma,39,White,430
West,Metropolitan,27,BachelorsDegree,43,White,430.8
South,Metropolitan,46,EleventhGrade,37,White,865.38
Northeast,Metropolitan,76,HighSchoolDiploma,39,White,1222.51
Northeast,Metropolitan,27,AssocDegAcadem,42,White,1100
South,Metropolitan,37,BachelorsDegree,43,White,2115
South,Metropolitan,61,BachelorsDegree,43,White,2019.23
Midwest,Not Metropolitan,41,AssocDegAcadem,42,White,576.92
West,Metropolitan,36,NinthGrade,35,White,908.46
Northeast,Metropolitan,31,BachelorsDegree,43,White,1730.76
Midwest,Metropolitan,49,MastersDegree,44,White,1384
Midwest,Metropolitan,26,HighSchoolDiploma,39,White,337.5
South,Metropolitan,28,AssocDegAcadem,42,Black,865
Midwest,Metropolitan,39,AssocDegAcadem,42,White,961
Midwest,Not Metropolitan,48,ProfSchoolDegree,45,White,1384.61
West,Metropolitan,18,HighSchoolDiploma,39,White,1000
South,Metropolitan,20,SomeCollegeButNoDegree,40,Black,400
West,Metropolitan,47,FirstSecondThirdOrFourthGrade,32,White,323.75
Northeast,Metropolitan,32,SomeCollegeButNoDegree,40,White,738.4
West,Metropolitan,54,HighSchoolDiploma,39,White,850
Midwest,Metropolitan,21,HighSchoolDiploma,39,White,360
South,Metropolitan,24,SomeCollegeButNoDegree,40,White,200
West,Metropolitan,31,SomeCollegeButNoDegree,40,White,875
Midwest,Metropolitan,45,SomeCollegeButNoDegree,40,Black,865.38
Midwest,Metropolitan,26,AssocDegOccupVocat,41,White,880
Midwest,Metropolitan,33,HighSchoolDiploma,39,White,894.8
South,Metropolitan,45,SomeCollegeButNoDegree,40,Black,2403
South,Metropolitan,30,AssocDegAcadem,42,White,500
Northeast,Metropolitan,44,SomeCollegeButNoDegree,40,Black,640
Midwest,Metropolitan,29,BachelorsDegree,43,White,1384.61
West,Metropolitan,27,BachelorsDegree,43,White,807.69
West,Metropolitan,32,AssocDegOccupVocat,41,White,1159.2
West,Metropolitan,48,AssocDegOccupVocat,41,White,1370
South,Not Metropolitan,31,HighSchoolDiploma,39,White,640
Midwest,Metropolitan,37,SomeCollegeButNoDegree,40,White,640
Midwest,Not Metropolitan,35,SomeCollegeButNoDegree,40,White,1384.61
Midwest,Metropolitan,29,BachelorsDegree,43,White,826.92
Northeast,Metropolitan,22,HighSchoolDiploma,39,White,926
Northeast,Metropolitan,41,BachelorsDegree,43,White,865.38
Northeast,Metropolitan,49,BachelorsDegree,43,White,1384.61
South,Metropolitan,26,NinthGrade,35,White,560
South,Metropolitan,43,BachelorsDegree,43,White,1000
Northeast,Metropolitan,25,HighSchoolDiploma,39,White,730.5
West,Metropolitan,73,BachelorsDegree,43,White,576.92
South,Metropolitan,36,BachelorsDegree,43,White,1923.07
Northeast,Metropolitan,18,AssocDegAcadem,42,White,692.3
Midwest,Metropolitan,71,FifthorSixthGrade,33,Black,294
West,Metropolitan,37,BachelorsDegree,43,White,596.15
South,Metropolitan,36,HighSchoolDiploma,39,White,903
Midwest,Metropolitan,62,MastersDegree,44,White,1250
West,Metropolitan,47,HighSchoolDiploma,39,White,1153.84
West,Not Metropolitan,40,HighSchoolDiploma,39,White,1057
South,Metropolitan,33,ProfSchoolDegree,45,White,2115.38
South,Not Metropolitan,46,HighSchoolDiploma,39,White,1660
Northeast,Metropolitan,39,BachelorsDegree,43,White,2884.61
Midwest,Metropolitan,37,MastersDegree,44,White,738
Northeast,Not Metropolitan,20,HighSchoolDiploma,39,White,467.5
Northeast,Metropolitan,38,HighSchoolDiploma,39,White,360
Northeast,Metropolitan,48,HighSchoolDiploma,39,White,1795
Midwest,Metropolitan,33,SomeCollegeButNoDegree,40,White,13
Northeast,Not Metropolitan,40,HighSchoolDiploma,39,White,380
West,Metropolitan,44,FifthorSixthGrade,33,White,687
Midwest,Metropolitan,36,SomeCollegeButNoDegree,40,White,1032
South,Metropolitan,31,BachelorsDegree,43,White,1826.92
West,Not Metropolitan,23,HighSchoolDiploma,39,White,1160
Northeast,Metropolitan,59,SomeCollegeButNoDegree,40,White,2115.38
West,Metropolitan,56,BachelorsDegree,43,White,615
Northeast,Metropolitan,29,BachelorsDegree,43,White,1730.76
South,Metropolitan,25,LessThanFirstGrade,31,White,420
South,Metropolitan,29,BachelorsDegree,43,White,1250
Northeast,Not Metropolitan,64,SomeCollegeButNoDegree,40,White,884
Midwest,Metropolitan,19,HighSchoolDiploma,39,White,560
South,Metropolitan,31,SomeCollegeButNoDegree,40,White,550
South,Metropolitan,21,HighSchoolDiploma,39,Black,380
West,Not Metropolitan,20,HighSchoolDiploma,39,White,360
South,Metropolitan,43,HighSchoolDiploma,39,White,1153.84
South,Metropolitan,25,BachelorsDegree,43,White,538.46
South,Metropolitan,52,HighSchoolDiploma,39,White,461
Midwest,Metropolitan,45,HighSchoolDiploma,39,White,400
South,Metropolitan,36,SomeCollegeButNoDegree,40,Black,525
West,Metropolitan,65,BachelorsDegree,43,White,884.61
Northeast,Not Metropolitan,32,SomeCollegeButNoDegree,40,White,276.92
West,Metropolitan,28,NinthGrade,35,White,276.92
South,Metropolitan,18,TenthGrade,36,White,500
Midwest,Not Metropolitan,53,HighSchoolDiploma,39,White,825.6
South,Metropolitan,59,BachelorsDegree,43,White,600
Northeast,Metropolitan,54,BachelorsDegree,43,White,1000
Northeast,Metropolitan,61,SomeCollegeButNoDegree,40,White,1634
South,Metropolitan,30,HighSchoolDiploma,39,White,1679.8
South,Metropolitan,85,FifthorSixthGrade,33,Black,294
West,Metropolitan,57,BachelorsDegree,43,White,923
Midwest,Metropolitan,30,BachelorsDegree,43,White,800
Midwest,Metropolitan,31,HighSchoolDiploma,39,White,1515
West,Metropolitan,44,MastersDegree,44,White,1592.3
South,Metropolitan,52,HighSchoolDiploma,39,White,1250
Northeast,Not Metropolitan,53,HighSchoolDiploma,39,White,750
Northeast,Metropolitan,54,AssocDegOccupVocat,41,White,1191.28
South,Metropolitan,19,HighSchoolDiploma,39,Black,314
West,Metropolitan,47,SomeCollegeButNoDegree,40,White,720
South,Not Metropolitan,46,HighSchoolDiploma,39,White,500
Midwest,Metropolitan,46,AssocDegOccupVocat,41,Black,519
West,Not Metropolitan,22,HighSchoolDiploma,39,White,480
South,Not Metropolitan,30,AssocDegOccupVocat,41,White,657
South,Metropolitan,57,HighSchoolDiploma,39,White,764.8
West,Metropolitan,28,BachelorsDegree,43,White,310
West,Metropolitan,35,SomeCollegeButNoDegree,40,White,1461
Midwest,Metropolitan,59,HighSchoolDiploma,39,White,600
Northeast,Metropolitan,54,SomeCollegeButNoDegree,40,White,1038.46
West,Metropolitan,34,BachelorsDegree,43,White,1338.59
Northeast,Metropolitan,40,TwelthButNoDiploma,38,White,600
Northeast,Metropolitan,67,DoctorateDegree,46,White,2884.61
West,Metropolitan,59,HighSchoolDiploma,39,Black,480
South,Not Metropolitan,68,HighSchoolDiploma,39,White,460
West,Metropolitan,41,BachelorsDegree,43,White,673.07
Midwest,Not Metropolitan,36,SomeCollegeButNoDegree,40,White,290
Midwest,Metropolitan,40,SomeCollegeButNoDegree,40,White,1538
Midwest,Metropolitan,22,HighSchoolDiploma,39,White,1006.5
Midwest,Not Metropolitan,39,HighSchoolDiploma,39,White,1176
South,Metropolitan,65,ProfSchoolDegree,45,White,384.46
West,Not Metropolitan,43,TenthGrade,36,White,415.38
West,Metropolitan,19,HighSchoolDiploma,39,White,340
West,Metropolitan,32,HighSchoolDiploma,39,White,600
West,Metropolitan,46,BachelorsDegree,43,White,865.38
Northeast,Metropolitan,29,SomeCollegeButNoDegree,40,White,600
Midwest,Metropolitan,33,AssocDegOccupVocat,41,White,1057.69
Midwest,Metropolitan,32,BachelorsDegree,43,White,2788.46
South,Not Metropolitan,19,TenthGrade,36,White,750
West,Metropolitan,51,HighSchoolDiploma,39,White,520
Midwest,Metropolitan,38,BachelorsDegree,43,White,1442.3
Midwest,Not Metropolitan,49,HighSchoolDiploma,39,White,1057
South,Metropolitan,40,MastersDegree,44,White,2596.15
South,Metropolitan,37,HighSchoolDiploma,39,White,640
Midwest,Metropolitan,37,SeventhOrEighthGrade,34,White,640
South,Metropolitan,41,AssocDegAcadem,42,White,923.07
Northeast,Not Metropolitan,46,BachelorsDegree,43,White,1057
South,Not Metropolitan,49,AssocDegOccupVocat,41,White,1442.3
South,Metropolitan,51,SomeCollegeButNoDegree,40,Black,650
West,Metropolitan,38,FirstSecondThirdOrFourthGrade,32,White,257.69
Northeast,Not Metropolitan,33,HighSchoolDiploma,39,White,398.76
West,Metropolitan,58,HighSchoolDiploma,39,White,480
Midwest,Not Metropolitan,52,HighSchoolDiploma,39,White,800
Midwest,Not Metropolitan,30,AssocDegAcadem,42,White,576.92
South,Metropolitan,63,MastersDegree,44,White,2423
Northeast,Metropolitan,39,HighSchoolDiploma,39,Black,1175
West,Metropolitan,46,BachelorsDegree,43,White,2557.69
Northeast,Metropolitan,50,HighSchoolDiploma,39,White,1057
Midwest,Not Metropolitan,44,SomeCollegeButNoDegree,40,White,1020
West,Metropolitan,52,LessThanFirstGrade,31,White,390
Northeast,Metropolitan,52,HighSchoolDiploma,39,White,400
Northeast,Metropolitan,45,HighSchoolDiploma,39,Black,400
Midwest,Metropolitan,45,MastersDegree,44,White,2884.61
West,Metropolitan,30,SomeCollegeButNoDegree,40,White,900
West,Metropolitan,49,BachelorsDegree,43,White,2884.61
Midwest,Metropolitan,19,HighSchoolDiploma,39,White,280
Midwest,Not Metropolitan,46,HighSchoolDiploma,39,White,520
South,Metropolitan,35,HighSchoolDiploma,39,White,400
Northeast,Metropolitan,38,SomeCollegeButNoDegree,40,White,903.84
West,Metropolitan,64,HighSchoolDiploma,39,White,673
South,Metropolitan,47,MastersDegree,44,White,2403.84
South,Metropolitan,59,MastersDegree,44,White,923.07
South,Not Metropolitan,52,BachelorsDegree,43,Black,961.53
South,Metropolitan,55,HighSchoolDiploma,39,White,673.07
Northeast,Metropolitan,57,HighSchoolDiploma,39,White,2884.61
South,Metropolitan,28,TwelthButNoDiploma,38,Black,1250
Midwest,Metropolitan,46,BachelorsDegree,43,White,1792
West,Metropolitan,33,BachelorsDegree,43,White,1241
South,Metropolitan,51,SomeCollegeButNoDegree,40,Black,1170
South,Metropolitan,34,SomeCollegeButNoDegree,40,White,850
Midwest,Metropolitan,20,HighSchoolDiploma,39,White,673.07
West,Metropolitan,27,HighSchoolDiploma,39,White,615.38
South,Not Metropolitan,48,BachelorsDegree,43,White,1100
Midwest,Metropolitan,60,HighSchoolDiploma,39,White,615.38
West,Metropolitan,50,AssocDegOccupVocat,41,Black,640
South,Metropolitan,47,AssocDegAcadem,42,White,538
South,Metropolitan,29,MastersDegree,44,White,769.23
Midwest,Metropolitan,45,DoctorateDegree,46,White,1500
Northeast,Metropolitan,53,HighSchoolDiploma,39,White,380
Northeast,Not Metropolitan,56,HighSchoolDiploma,39,White,470
Midwest,Metropolitan,51,HighSchoolDiploma,39,White,1192.3
West,Not Metropolitan,44,HighSchoolDiploma,39,White,692.3
Northeast,Metropolitan,34,AssocDegAcadem,42,White,600
Northeast,Metropolitan,47,AssocDegAcadem,42,White,1192.3
Northeast,Metropolitan,49,HighSchoolDiploma,39,White,400
Northeast,Metropolitan,54,HighSchoolDiploma,39,White,1192
South,Metropolitan,39,MastersDegree,44,Black,1788.46
South,Metropolitan,53,HighSchoolDiploma,39,White,1647
West,Metropolitan,49,HighSchoolDiploma,39,White,192
Northeast,Metropolitan,46,AssocDegAcadem,42,White,826
Northeast,Metropolitan,39,AssocDegAcadem,42,White,1575.2
West,Not Metropolitan,35,HighSchoolDiploma,39,White,1430
South,Not Metropolitan,35,HighSchoolDiploma,39,White,412
Midwest,Metropolitan,59,HighSchoolDiploma,39,White,520
South,Metropolitan,23,BachelorsDegree,43,White,692.3
Midwest,Metropolitan,54,HighSchoolDiploma,39,White,300
South,Metropolitan,52,SomeCollegeButNoDegree,40,White,880
Midwest,Not Metropolitan,47,SomeCollegeButNoDegree,40,White,320
Midwest,Metropolitan,46,HighSchoolDiploma,39,White,1346.15
South,Metropolitan,45,BachelorsDegree,43,White,1019.23
South,Metropolitan,50,BachelorsDegree,43,White,1115.38
West,Metropolitan,51,HighSchoolDiploma,39,White,840
West,Metropolitan,33,HighSchoolDiploma,39,White,1375.5
Midwest,Not Metropolitan,55,AssocDegAcadem,42,White,360
South,Metropolitan,42,HighSchoolDiploma,39,White,461.53
West,Metropolitan,33,BachelorsDegree,43,White,453.6
South,Not Metropolitan,38,HighSchoolDiploma,39,White,1040
West,Not Metropolitan,41,HighSchoolDiploma,39,White,1000
Northeast,Metropolitan,37,HighSchoolDiploma,39,Black,673.07
Midwest,Metropolitan,39,DoctorateDegree,46,White,1403.84
West,Not Metropolitan,61,MastersDegree,44,White,1173
South,Not Metropolitan,33,SomeCollegeButNoDegree,40,White,200
West,Metropolitan,50,HighSchoolDiploma,39,White,400
Midwest,Metropolitan,55,SomeCollegeButNoDegree,40,White,1080
West,Metropolitan,47,HighSchoolDiploma,39,Black,865.38
Midwest,Not Metropolitan,24,HighSchoolDiploma,39,White,1033.2
West,Metropolitan,25,BachelorsDegree,43,White,750
West,Metropolitan,44,FifthorSixthGrade,33,White,378
West,Metropolitan,33,SomeCollegeButNoDegree,40,White,820
Midwest,Metropolitan,43,HighSchoolDiploma,39,White,800
West,Metropolitan,35,TenthGrade,36,White,10
Northeast,Metropolitan,56,SomeCollegeButNoDegree,40,White,1000
Northeast,Metropolitan,42,SomeCollegeButNoDegree,40,White,2000
South,Metropolitan,40,DoctorateDegree,46,White,2500
Northeast,Metropolitan,34,BachelorsDegree,43,White,438.46
South,Metropolitan,54,MastersDegree,44,White,1053.23
West,Not Metropolitan,60,HighSchoolDiploma,39,White,500
Northeast,Metropolitan,30,BachelorsDegree,43,White,1694.5
West,Not Metropolitan,64,MastersDegree,44,White,620
West,Not Metropolitan,58,DoctorateDegree,46,White,2192.3
South,Metropolitan,38,BachelorsDegree,43,White,2884.61
South,Metropolitan,54,HighSchoolDiploma,39,White,750
South,Metropolitan,46,SomeCollegeButNoDegree,40,White,1485
South,Metropolitan,33,AssocDegAcadem,42,White,600
South,Metropolitan,57,MastersDegree,44,White,2000
South,Metropolitan,28,AssocDegOccupVocat,41,Black,400
Northeast,Metropolitan,54,HighSchoolDiploma,39,White,884
South,Metropolitan,50,BachelorsDegree,43,White,576.92
West,Metropolitan,48,BachelorsDegree,43,White,1923.07
South,Metropolitan,23,HighSchoolDiploma,39,Black,400
South,Metropolitan,42,DoctorateDegree,46,White,2647
Midwest,Metropolitan,34,SomeCollegeButNoDegree,40,White,1600
Midwest,Metropolitan,21,SomeCollegeButNoDegree,40,White,1000
Northeast,Metropolitan,42,HighSchoolDiploma,39,White,1769.23
South,Metropolitan,27,HighSchoolDiploma,39,Black,320
Northeast,Metropolitan,63,HighSchoolDiploma,39,White,673.07
Midwest,Not Metropolitan,61,AssocDegOccupVocat,41,White,757.5
Northeast,Not Metropolitan,30,AssocDegOccupVocat,41,White,692.3
South,Metropolitan,55,SomeCollegeButNoDegree,40,White,1416
West,Metropolitan,29,HighSchoolDiploma,39,White,320
Northeast,Not Metropolitan,30,AssocDegAcadem,42,White,700
Northeast,Metropolitan,68,HighSchoolDiploma,39,White,1653
Northeast,Metropolitan,30,BachelorsDegree,43,White,1269.23
Midwest,Metropolitan,25,SomeCollegeButNoDegree,40,White,520
Midwest,Metropolitan,35,HighSchoolDiploma,39,White,510
Midwest,Metropolitan,51,HighSchoolDiploma,39,White,760
Northeast,Metropolitan,45,SomeCollegeButNoDegree,40,White,2203.2
Midwest,Metropolitan,49,HighSchoolDiploma,39,White,1442.3
Midwest,Metropolitan,41,BachelorsDegree,43,White,1476.92
Northeast,Metropolitan,37,HighSchoolDiploma,39,White,1552.4
Midwest,Metropolitan,40,HighSchoolDiploma,39,White,536.8
South,Not Metropolitan,30,HighSchoolDiploma,39,Black,305.55
South,Metropolitan,28,HighSchoolDiploma,39,White,300
South,Metropolitan,44,BachelorsDegree,43,White,423.07
Northeast,Not Metropolitan,34,HighSchoolDiploma,39,White,1013.1
Midwest,Metropolitan,42,NinthGrade,35,White,660
South,Metropolitan,80,BachelorsDegree,43,White,550
Midwest,Metropolitan,62,HighSchoolDiploma,39,White,192.3
Midwest,Metropolitan,44,BachelorsDegree,43,White,1019.23
South,Metropolitan,32,SomeCollegeButNoDegree,40,White,400
West,Metropolitan,42,HighSchoolDiploma,39,White,1500
West,Metropolitan,27,AssocDegOccupVocat,41,White,1346.15
South,Metropolitan,22,SomeCollegeButNoDegree,40,Black,360
Midwest,Metropolitan,33,MastersDegree,44,Black,480.76
Northeast,Metropolitan,52,SomeCollegeButNoDegree,40,White,2884.61
South,Metropolitan,55,SomeCollegeButNoDegree,40,White,1000
West,Metropolitan,24,HighSchoolDiploma,39,Black,1150
Midwest,Metropolitan,43,BachelorsDegree,43,White,875
Midwest,Metropolitan,34,SomeCollegeButNoDegree,40,White,1225
South,Metropolitan,63,MastersDegree,44,White,1615.38
Northeast,Metropolitan,46,BachelorsDegree,43,White,2884.61
Northeast,Metropolitan,23,HighSchoolDiploma,39,White,1600
South,Metropolitan,27,BachelorsDegree,43,White,769.23
South,Metropolitan,49,AssocDegOccupVocat,41,Black,1200
South,Metropolitan,57,AssocDegOccupVocat,41,White,700
West,Metropolitan,29,MastersDegree,44,White,615.38
Midwest,Metropolitan,27,HighSchoolDiploma,39,White,460
West,Metropolitan,33,AssocDegAcadem,42,White,1154
South,Metropolitan,35,MastersDegree,44,White,1730.76
Northeast,Not Metropolitan,18,HighSchoolDiploma,39,White,593.2
Northeast,Metropolitan,32,AssocDegAcadem,42,Black,415
West,Metropolitan,45,SomeCollegeButNoDegree,40,Black,730.76
West,Metropolitan,53,AssocDegAcadem,42,White,1100
South,Not Metropolitan,25,EleventhGrade,37,White,401.1
Midwest,Metropolitan,42,BachelorsDegree,43,White,560
Northeast,Not Metropolitan,24,SomeCollegeButNoDegree,40,White,680
South,Metropolitan,59,SomeCollegeButNoDegree,40,White,350
Northeast,Metropolitan,55,AssocDegAcadem,42,Black,1000
South,Metropolitan,40,AssocDegOccupVocat,41,White,484.61
West,Not Metropolitan,53,HighSchoolDiploma,39,White,2884.61
Northeast,Metropolitan,24,SomeCollegeButNoDegree,40,White,738
South,Metropolitan,30,HighSchoolDiploma,39,White,1096
West,Metropolitan,32,SomeCollegeButNoDegree,40,White,923.07
South,Not Metropolitan,49,TwelthButNoDiploma,38,White,720
Midwest,Metropolitan,39,TwelthButNoDiploma,38,White,575
Northeast,Not Metropolitan,24,AssocDegOccupVocat,41,White,704
Northeast,Metropolitan,37,SomeCollegeButNoDegree,40,White,636.8
South,Metropolitan,62,DoctorateDegree,46,White,738.46
Midwest,Metropolitan,39,HighSchoolDiploma,39,White,600
South,Metropolitan,54,SomeCollegeButNoDegree,40,White,900
South,Not Metropolitan,40,BachelorsDegree,43,White,760
Northeast,Metropolitan,39,BachelorsDegree,43,White,1923
Midwest,Metropolitan,54,HighSchoolDiploma,39,White,1335
Northeast,Metropolitan,29,SomeCollegeButNoDegree,40,Black,600
West,Metropolitan,54,BachelorsDegree,43,White,2019.23
Midwest,Not Metropolitan,32,HighSchoolDiploma,39,White,738.4
South,Metropolitan,51,BachelorsDegree,43,White,2500
Midwest,Not Metropolitan,39,BachelorsDegree,43,White,1346.15
South,Metropolitan,41,BachelorsDegree,43,White,1634.61
South,Metropolitan,54,SomeCollegeButNoDegree,40,White,1100
Midwest,Metropolitan,57,BachelorsDegree,43,White,1961
South,Metropolitan,45,AssocDegOccupVocat,41,White,673
Northeast,Not Metropolitan,22,SomeCollegeButNoDegree,40,White,253
South,Metropolitan,51,MastersDegree,44,White,1192.3
Midwest,Metropolitan,55,HighSchoolDiploma,39,White,680
West,Metropolitan,69,DoctorateDegree,46,White,2884.61
Midwest,Metropolitan,41,SomeCollegeButNoDegree,40,White,1038.46
West,Metropolitan,42,AssocDegOccupVocat,41,White,276
Midwest,Metropolitan,38,HighSchoolDiploma,39,White,346
South,Metropolitan,44,HighSchoolDiploma,39,Black,440
Northeast,Metropolitan,55,ProfSchoolDegree,45,White,1923.07
West,Metropolitan,34,HighSchoolDiploma,39,White,1192.3
South,Metropolitan,34,AssocDegAcadem,42,White,400
West,Not Metropolitan,53,AssocDegOccupVocat,41,White,600
West,Metropolitan,19,HighSchoolDiploma,39,White,392.3
Northeast,Metropolitan,50,BachelorsDegree,43,White,1711.53
South,Metropolitan,56,HighSchoolDiploma,39,Black,830
Northeast,Metropolitan,38,AssocDegAcadem,42,White,673.07
Northeast,Metropolitan,60,ProfSchoolDegree,45,White,1730.76
West,Metropolitan,26,HighSchoolDiploma,39,White,402.5
Northeast,Not Metropolitan,33,SomeCollegeButNoDegree,40,White,750
West,Metropolitan,50,MastersDegree,44,White,2884.61
Midwest,Metropolitan,54,BachelorsDegree,43,White,1346
Midwest,Metropolitan,56,BachelorsDegree,43,White,1250
West,Metropolitan,28,SomeCollegeButNoDegree,40,White,468
South,Not Metropolitan,76,EleventhGrade,37,Black,1123
Midwest,Metropolitan,57,MastersDegree,44,White,1961
South,Metropolitan,53,HighSchoolDiploma,39,White,961
Northeast,Metropolitan,54,HighSchoolDiploma,39,Black,1038
South,Metropolitan,24,SomeCollegeButNoDegree,40,White,442
West,Metropolitan,26,BachelorsDegree,43,White,1080
Midwest,Metropolitan,25,BachelorsDegree,43,White,230
West,Metropolitan,50,AssocDegOccupVocat,41,White,1539.2
West,Metropolitan,36,MastersDegree,44,White,1615
West,Metropolitan,48,HighSchoolDiploma,39,White,600
Midwest,Not Metropolitan,33,HighSchoolDiploma,39,White,760
Midwest,Metropolitan,53,HighSchoolDiploma,39,Black,560
Northeast,Not Metropolitan,42,MastersDegree,44,White,1442.3
Midwest,Not Metropolitan,58,MastersDegree,44,White,1961
Midwest,Metropolitan,55,MastersDegree,44,White,1365
West,Metropolitan,43,HighSchoolDiploma,39,White,600
Midwest,Metropolitan,25,HighSchoolDiploma,39,Black,520
South,Metropolitan,20,HighSchoolDiploma,39,White,440
Midwest,Metropolitan,26,SomeCollegeButNoDegree,40,White,692
South,Metropolitan,46,SomeCollegeButNoDegree,40,White,1880
Midwest,Not Metropolitan,62,BachelorsDegree,43,White,1307.69
South,Metropolitan,37,NinthGrade,35,White,290
Northeast,Metropolitan,41,HighSchoolDiploma,39,White,1730.76
West,Not Metropolitan,58,BachelorsDegree,43,White,415.38
South,Not Metropolitan,41,SeventhOrEighthGrade,34,White,750
Northeast,Not Metropolitan,34,HighSchoolDiploma,39,White,826
Midwest,Metropolitan,27,BachelorsDegree,43,White,980.76
Midwest,Not Metropolitan,27,SomeCollegeButNoDegree,40,White,520
West,Metropolitan,51,HighSchoolDiploma,39,White,940
South,Not Metropolitan,56,BachelorsDegree,43,White,1884.61
South,Not Metropolitan,33,MastersDegree,44,White,1250
Midwest,Metropolitan,42,BachelorsDegree,43,White,580
West,Metropolitan,32,TenthGrade,36,White,550
Midwest,Not Metropolitan,44,HighSchoolDiploma,39,White,903
West,Metropolitan,37,ProfSchoolDegree,45,White,2500
South,Metropolitan,33,AssocDegAcadem,42,White,520
West,Metropolitan,50,DoctorateDegree,46,White,2423.07
West,Metropolitan,22,HighSchoolDiploma,39,White,530
South,Not Identified,29,HighSchoolDiploma,39,White,1346.15
West,Metropolitan,20,TenthGrade,36,White,600
South,Metropolitan,52,SomeCollegeButNoDegree,40,White,807
South,Metropolitan,40,BachelorsDegree,43,White,480
Midwest,Metropolitan,53,BachelorsDegree,43,Black,1442
Midwest,Not Metropolitan,40,MastersDegree,44,White,2307.69
West,Metropolitan,25,HighSchoolDiploma,39,White,730
South,Metropolitan,38,NinthGrade,35,White,600
West,Not Metropolitan,34,SomeCollegeButNoDegree,40,White,181.25
South,Metropolitan,29,BachelorsDegree,43,White,807.69
South,Metropolitan,20,HighSchoolDiploma,39,White,400
South,Metropolitan,41,AssocDegAcadem,42,White,1170
Northeast,Metropolitan,45,SomeCollegeButNoDegree,40,White,880
Midwest,Not Metropolitan,38,HighSchoolDiploma,39,White,1346
Midwest,Metropolitan,60,MastersDegree,44,White,1557
Midwest,Metropolitan,34,BachelorsDegree,43,White,730
Northeast,Not Metropolitan,55,HighSchoolDiploma,39,White,950
Midwest,Metropolitan,49,HighSchoolDiploma,39,White,706.8
West,Metropolitan,39,HighSchoolDiploma,39,White,900
South,Metropolitan,37,HighSchoolDiploma,39,White,600
South,Metropolitan,39,BachelorsDegree,43,White,1346.15
Northeast,Not Metropolitan,27,HighSchoolDiploma,39,White,923.07
South,Metropolitan,61,HighSchoolDiploma,39,White,673
South,Metropolitan,64,DoctorateDegree,46,White,2423.07
West,Metropolitan,48,BachelorsDegree,43,White,1923.07
Northeast,Metropolitan,50,HighSchoolDiploma,39,White,380
West,Metropolitan,33,HighSchoolDiploma,39,White,520
Midwest,Not Metropolitan,41,BachelorsDegree,43,White,2884.61
Northeast,Metropolitan,62,HighSchoolDiploma,39,White,1346.15
South,Metropolitan,36,MastersDegree,44,White,1307.69
South,Metropolitan,50,BachelorsDegree,43,White,1384.61
Midwest,Not Metropolitan,56,HighSchoolDiploma,39,White,369.56
Northeast,Not Metropolitan,35,SomeCollegeButNoDegree,40,White,720
West,Metropolitan,23,SomeCollegeButNoDegree,40,White,519.23
South,Metropolitan,56,SomeCollegeButNoDegree,40,White,1000
South,Metropolitan,29,HighSchoolDiploma,39,White,758
Midwest,Metropolitan,30,BachelorsDegree,43,White,2500
South,Metropolitan,39,BachelorsDegree,43,White,1500
West,Not Metropolitan,26,AssocDegOccupVocat,41,White,736
West,Metropolitan,46,SomeCollegeButNoDegree,40,White,1250
