Region,MetropolitanStatus,Age,Sex,MaritalStatus,EdCode,Education,JobClass,WeeklyEarnings
West,Metropolitan,36,Female,Not Married,40,SomeCollegeButNoDegree,LocalGov,702.45
Midwest,Metropolitan,63,Male,Not Married,40,SomeCollegeButNoDegree,LocalGov,600
Northeast,Not Metropolitan,58,Male,Married,40,SomeCollegeButNoDegree,LocalGov,1000
South,Metropolitan,53,Male,Married,45,ProfSchoolDegree,LocalGov,1923.07
West,Metropolitan,62,Female,Married,40,SomeCollegeButNoDegree,LocalGov,600
Midwest,Metropolitan,43,Male,Not Married,43,BachelorsDegree,LocalGov,692.3
West,Not Metropolitan,45,Male,Married,39,HighSchoolDiploma,LocalGov,1661.53
South,Metropolitan,60,Female,Married,44,MastersDegree,LocalGov,720
Midwest,Metropolitan,26,Female,Not Married,42,AssocDegAcadem,LocalGov,757.6
Northeast,Metropolitan,46,Female,Not Married,44,MastersDegree,LocalGov,1769.23
West,Metropolitan,51,Male,Not Married,40,SomeCollegeButNoDegree,LocalGov,2019.23
Midwest,Not Metropolitan,25,Male,Married,43,BachelorsDegree,LocalGov,615.38
Midwest,Not Metropolitan,37,Female,Not Married,39,HighSchoolDiploma,LocalGov,557.69
West,Metropolitan,51,Female,Not Married,43,BachelorsDegree,LocalGov,538.8
West,Metropolitan,44,Female,Married,43,BachelorsDegree,LocalGov,586.4
South,Metropolitan,49,Female,Not Married,39,HighSchoolDiploma,LocalGov,461.53
Midwest,Metropolitan,62,Female,Married,46,DoctorateDegree,LocalGov,1192
Northeast,Metropolitan,55,Male,Married,38,TwelthButNoDiploma,LocalGov,850
West,Not Metropolitan,57,Female,Married,40,SomeCollegeButNoDegree,LocalGov,900
South,Metropolitan,40,Female,Married,42,AssocDegAcadem,LocalGov,769.23
Northeast,Metropolitan,54,Male,Married,39,HighSchoolDiploma,LocalGov,884
South,Not Metropolitan,50,Female,Married,44,MastersDegree,LocalGov,865.38
Northeast,Metropolitan,58,Female,Not Married,44,MastersDegree,LocalGov,1538.46
South,Metropolitan,32,Female,Not Married,44,MastersDegree,LocalGov,961
Northeast,Metropolitan,47,Female,Not Married,44,MastersDegree,LocalGov,1250
South,Metropolitan,39,Female,Not Married,42,AssocDegAcadem,LocalGov,478
South,Metropolitan,54,Male,Not Married,39,HighSchoolDiploma,LocalGov,961.53
Midwest,Not Metropolitan,41,Male,Married,40,SomeCollegeButNoDegree,LocalGov,519
Northeast,Metropolitan,63,Female,Not Married,44,MastersDegree,LocalGov,1423.07
Midwest,Not Metropolitan,51,Female,Married,44,MastersDegree,LocalGov,1280
Northeast,Not Metropolitan,27,Male,Not Married,39,HighSchoolDiploma,LocalGov,732.5
South,Metropolitan,30,Male,Not Married,46,DoctorateDegree,LocalGov,653
Northeast,Metropolitan,40,Female,Not Married,45,ProfSchoolDegree,LocalGov,1150
Northeast,Not Metropolitan,69,Male,Married,37,EleventhGrade,LocalGov,615.2
Midwest,Not Metropolitan,34,Male,Married,40,SomeCollegeButNoDegree,LocalGov,923.07
South,Metropolitan,57,Female,Married,46,DoctorateDegree,LocalGov,2076.92
Midwest,Metropolitan,30,Male,Married,40,SomeCollegeButNoDegree,LocalGov,807.69
West,Metropolitan,54,Male,Married,43,BachelorsDegree,LocalGov,2019.23
Northeast,Not Metropolitan,26,Female,Not Married,43,BachelorsDegree,LocalGov,861.5
West,Metropolitan,59,Male,Not Married,44,MastersDegree,LocalGov,961.53
South,Metropolitan,33,Female,Married,40,SomeCollegeButNoDegree,LocalGov,688
Midwest,Metropolitan,49,Male,Married,39,HighSchoolDiploma,LocalGov,740
Midwest,Not Metropolitan,30,Female,Married,43,BachelorsDegree,LocalGov,1080
South,Not Metropolitan,45,Female,Married,41,AssocDegOccupVocat,LocalGov,615.38
West,Metropolitan,34,Male,Married,44,MastersDegree,LocalGov,738.46
West,Metropolitan,32,Female,Not Married,40,SomeCollegeButNoDegree,LocalGov,576.92
Midwest,Metropolitan,28,Female,Not Married,43,BachelorsDegree,LocalGov,673.07
Northeast,Metropolitan,57,Female,Married,44,MastersDegree,LocalGov,1538.46
West,Not Metropolitan,59,Female,Not Married,43,BachelorsDegree,LocalGov,553.84
Northeast,Not Metropolitan,36,Female,Married,43,BachelorsDegree,LocalGov,750
South,Metropolitan,36,Male,Married,39,HighSchoolDiploma,LocalGov,600
South,Metropolitan,22,Female,Married,43,BachelorsDegree,LocalGov,1500
Northeast,Not Metropolitan,58,Female,Married,44,MastersDegree,LocalGov,1401.92
West,Metropolitan,58,Female,Married,46,DoctorateDegree,LocalGov,1192
West,Not Metropolitan,49,Female,Not Married,40,SomeCollegeButNoDegree,LocalGov,280
Midwest,Metropolitan,26,Male,Married,41,AssocDegOccupVocat,LocalGov,769.23
South,Metropolitan,42,Female,Married,39,HighSchoolDiploma,LocalGov,480
West,Not Metropolitan,45,Male,Not Married,43,BachelorsDegree,LocalGov,1964.28
South,Metropolitan,40,Male,Married,39,HighSchoolDiploma,LocalGov,1596
South,Metropolitan,42,Male,Not Married,39,HighSchoolDiploma,LocalGov,1082.19
Northeast,Not Metropolitan,41,Male,Not Married,42,AssocDegAcadem,LocalGov,1500
Midwest,Metropolitan,26,Male,Not Married,39,HighSchoolDiploma,LocalGov,1038.46
South,Not Metropolitan,50,Male,Not Married,40,SomeCollegeButNoDegree,LocalGov,2807.69
West,Metropolitan,65,Male,Married,43,BachelorsDegree,LocalGov,2019.23
Northeast,Metropolitan,56,Male,Not Married,43,BachelorsDegree,LocalGov,1640
Northeast,Metropolitan,60,Male,Married,36,TenthGrade,LocalGov,1923.07
West,Metropolitan,45,Female,Not Married,44,MastersDegree,LocalGov,390
South,Not Metropolitan,58,Female,Married,41,AssocDegOccupVocat,LocalGov,2029
Northeast,Metropolitan,46,Male,Married,40,SomeCollegeButNoDegree,LocalGov,1442.3
Midwest,Not Metropolitan,28,Male,Married,39,HighSchoolDiploma,LocalGov,400
Northeast,Metropolitan,41,Male,Married,43,BachelorsDegree,LocalGov,807.69
West,Metropolitan,25,Female,Married,42,AssocDegAcadem,LocalGov,582
Midwest,Metropolitan,37,Female,Not Married,40,SomeCollegeButNoDegree,LocalGov,576.92
West,Metropolitan,46,Male,Not Married,46,DoctorateDegree,LocalGov,997.5
South,Metropolitan,38,Male,Married,42,AssocDegAcadem,LocalGov,1442
South,Not Metropolitan,47,Male,Not Married,39,HighSchoolDiploma,LocalGov,500
West,Not Metropolitan,58,Female,Married,39,HighSchoolDiploma,LocalGov,759
South,Metropolitan,66,Male,Not Married,40,SomeCollegeButNoDegree,LocalGov,480
South,Metropolitan,54,Male,Married,44,MastersDegree,LocalGov,784
Midwest,Metropolitan,51,Female,Married,44,MastersDegree,LocalGov,1250
Midwest,Not Metropolitan,42,Male,Married,40,SomeCollegeButNoDegree,LocalGov,1323
South,Not Metropolitan,35,Male,Married,40,SomeCollegeButNoDegree,LocalGov,572.8
Midwest,Not Metropolitan,19,Female,Not Married,39,HighSchoolDiploma,LocalGov,720
West,Metropolitan,37,Male,Married,39,HighSchoolDiploma,LocalGov,1040
Northeast,Metropolitan,61,Male,Married,40,SomeCollegeButNoDegree,LocalGov,1634
Midwest,Metropolitan,58,Female,Married,39,HighSchoolDiploma,LocalGov,652.8
South,Not Metropolitan,24,Female,Not Married,43,BachelorsDegree,LocalGov,519
Northeast,Metropolitan,18,Male,Married,42,AssocDegAcadem,LocalGov,692.3
South,Metropolitan,46,Male,Married,39,HighSchoolDiploma,LocalGov,900
West,Not Metropolitan,33,Female,Married,39,HighSchoolDiploma,LocalGov,383.25
Midwest,Metropolitan,39,Female,Married,44,MastersDegree,LocalGov,1153.84
West,Metropolitan,62,Male,Married,40,SomeCollegeButNoDegree,LocalGov,1057.69
Northeast,Metropolitan,55,Female,Not Married,44,MastersDegree,LocalGov,1500
Northeast,Metropolitan,54,Female,Not Married,40,SomeCollegeButNoDegree,LocalGov,612.5
Midwest,Metropolitan,44,Female,Not Married,42,AssocDegAcadem,LocalGov,442
Midwest,Metropolitan,59,Female,Not Married,44,MastersDegree,LocalGov,900
Northeast,Metropolitan,62,Male,Married,40,SomeCollegeButNoDegree,LocalGov,1173.07
West,Not Metropolitan,58,Male,Married,43,BachelorsDegree,LocalGov,1680.46
South,Metropolitan,37,Male,Married,42,AssocDegAcadem,LocalGov,880
Northeast,Not Metropolitan,52,Female,Married,44,MastersDegree,LocalGov,1538.46
Northeast,Not Metropolitan,57,Male,Married,44,MastersDegree,LocalGov,1250
Midwest,Metropolitan,64,Male,Married,39,HighSchoolDiploma,LocalGov,600
Northeast,Not Metropolitan,58,Male,Married,43,BachelorsDegree,LocalGov,450
West,Metropolitan,54,Male,Married,42,AssocDegAcadem,LocalGov,640
South,Metropolitan,26,Male,Not Married,43,BachelorsDegree,LocalGov,920
South,Not Metropolitan,39,Female,Married,43,BachelorsDegree,LocalGov,1000
Northeast,Metropolitan,40,Female,Married,44,MastersDegree,LocalGov,961.53
South,Metropolitan,50,Female,Not Married,44,MastersDegree,LocalGov,1076.92
South,Metropolitan,40,Male,Married,43,BachelorsDegree,LocalGov,1538
Northeast,Metropolitan,29,Female,Married,44,MastersDegree,LocalGov,1100
West,Metropolitan,39,Male,Married,44,MastersDegree,LocalGov,807.69
West,Metropolitan,52,Male,Married,43,BachelorsDegree,LocalGov,1086.95
West,Metropolitan,53,Female,Not Married,44,MastersDegree,LocalGov,1500
Northeast,Metropolitan,30,Male,Married,43,BachelorsDegree,LocalGov,1694.5
South,Metropolitan,23,Male,Not Married,39,HighSchoolDiploma,LocalGov,440
South,Metropolitan,39,Female,Married,43,BachelorsDegree,LocalGov,865.38
Midwest,Metropolitan,32,Male,Married,39,HighSchoolDiploma,LocalGov,735.52
West,Not Metropolitan,46,Male,Married,40,SomeCollegeButNoDegree,LocalGov,923.07
Midwest,Not Metropolitan,37,Female,Married,44,MastersDegree,LocalGov,1057
Midwest,Metropolitan,66,Female,Married,39,HighSchoolDiploma,LocalGov,396
West,Metropolitan,44,Male,Married,44,MastersDegree,LocalGov,1576.92
Midwest,Not Metropolitan,38,Female,Not Married,37,EleventhGrade,LocalGov,520
Midwest,Metropolitan,54,Female,Married,39,HighSchoolDiploma,LocalGov,475
South,Metropolitan,48,Female,Not Married,35,NinthGrade,LocalGov,230
West,Metropolitan,45,Male,Married,44,MastersDegree,LocalGov,1634
Northeast,Metropolitan,41,Male,Married,44,MastersDegree,LocalGov,1346
West,Not Metropolitan,51,Female,Married,40,SomeCollegeButNoDegree,LocalGov,865.38
South,Metropolitan,34,Female,Married,42,AssocDegAcadem,LocalGov,454.54
Northeast,Metropolitan,56,Female,Married,44,MastersDegree,LocalGov,1795.45
South,Metropolitan,42,Female,Married,43,BachelorsDegree,LocalGov,1634.61
Midwest,Not Metropolitan,58,Female,Not Married,39,HighSchoolDiploma,LocalGov,576.92
South,Not Metropolitan,40,Female,Married,41,AssocDegOccupVocat,LocalGov,1680
West,Metropolitan,61,Female,Married,45,ProfSchoolDegree,LocalGov,1400
West,Metropolitan,32,Male,Married,43,BachelorsDegree,LocalGov,93.6
Midwest,Metropolitan,47,Male,Married,44,MastersDegree,LocalGov,961.53
Midwest,Metropolitan,59,Female,Married,44,MastersDegree,LocalGov,1523.8
South,Not Metropolitan,22,Female,Not Married,39,HighSchoolDiploma,LocalGov,485.2
Northeast,Metropolitan,49,Male,Married,42,AssocDegAcadem,LocalGov,1277.7
Midwest,Metropolitan,50,Female,Married,43,BachelorsDegree,LocalGov,600
West,Metropolitan,30,Male,Married,43,BachelorsDegree,LocalGov,1240
South,Not Metropolitan,48,Female,Married,39,HighSchoolDiploma,LocalGov,700
Midwest,Metropolitan,35,Female,Not Married,44,MastersDegree,LocalGov,1000
Midwest,Metropolitan,45,Male,Married,46,DoctorateDegree,LocalGov,1500
Midwest,Metropolitan,37,Male,Married,43,BachelorsDegree,LocalGov,820.8
Midwest,Not Metropolitan,24,Female,Not Married,43,BachelorsDegree,LocalGov,730.76
Midwest,Not Metropolitan,55,Female,Married,40,SomeCollegeButNoDegree,LocalGov,325
South,Not Metropolitan,40,Female,Married,43,BachelorsDegree,LocalGov,992
Midwest,Metropolitan,46,Female,Not Married,39,HighSchoolDiploma,LocalGov,587.3
Northeast,Metropolitan,54,Male,Married,39,HighSchoolDiploma,LocalGov,1038
Midwest,Not Metropolitan,22,Female,Not Married,40,SomeCollegeButNoDegree,LocalGov,549.6
Midwest,Not Metropolitan,43,Male,Not Married,43,BachelorsDegree,LocalGov,769.23
Northeast,Metropolitan,48,Male,Married,45,ProfSchoolDegree,LocalGov,1538.46
Northeast,Metropolitan,49,Female,Married,40,SomeCollegeButNoDegree,LocalGov,769.23
West,Metropolitan,59,Female,Married,44,MastersDegree,LocalGov,1153.84
West,Metropolitan,56,Female,Not Married,43,BachelorsDegree,LocalGov,1250
Northeast,Metropolitan,56,Female,Married,39,HighSchoolDiploma,LocalGov,1360
South,Not Metropolitan,49,Male,Married,41,AssocDegOccupVocat,LocalGov,738.46
Midwest,Metropolitan,52,Female,Married,43,BachelorsDegree,LocalGov,876.92
Midwest,Not Metropolitan,52,Female,Married,44,MastersDegree,LocalGov,923.07
West,Not Metropolitan,31,Male,Married,40,SomeCollegeButNoDegree,LocalGov,1080
Northeast,Metropolitan,59,Female,Not Married,43,BachelorsDegree,LocalGov,1346.15
Northeast,Metropolitan,64,Female,Not Married,44,MastersDegree,LocalGov,1442.3
Midwest,Not Metropolitan,50,Female,Married,43,BachelorsDegree,LocalGov,923.07
South,Metropolitan,39,Male,Married,43,BachelorsDegree,LocalGov,1346.15
West,Metropolitan,31,Male,Not Married,43,BachelorsDegree,LocalGov,1173.07
South,Metropolitan,65,Female,Not Married,43,BachelorsDegree,LocalGov,1923
Northeast,Metropolitan,48,Female,Married,43,BachelorsDegree,LocalGov,865
Northeast,Not Metropolitan,52,Female,Married,43,BachelorsDegree,LocalGov,1163.96
Northeast,Metropolitan,43,Female,Married,44,MastersDegree,LocalGov,1000
Midwest,Not Metropolitan,59,Male,Married,39,HighSchoolDiploma,LocalGov,620
West,Metropolitan,56,Male,Married,38,TwelthButNoDiploma,LocalGov,969.23
West,Metropolitan,29,Male,Not Married,44,MastersDegree,LocalGov,1730.76
South,Metropolitan,35,Female,Married,43,BachelorsDegree,LocalGov,823
Midwest,Metropolitan,48,Male,Married,40,SomeCollegeButNoDegree,LocalGov,900
West,Metropolitan,53,Male,Married,42,AssocDegAcadem,LocalGov,1384.61
Midwest,Not Metropolitan,54,Female,Married,44,MastersDegree,LocalGov,1192.3
Midwest,Metropolitan,23,Female,Married,43,BachelorsDegree,LocalGov,403.84
South,Metropolitan,49,Female,Married,39,HighSchoolDiploma,LocalGov,461.53
Midwest,Not Metropolitan,43,Male,Married,43,BachelorsDegree,LocalGov,961.53
South,Metropolitan,29,Female,Married,44,MastersDegree,LocalGov,1500
South,Metropolitan,58,Female,Not Married,43,BachelorsDegree,LocalGov,2000
South,Metropolitan,23,Male,Not Married,38,TwelthButNoDiploma,LocalGov,673.07
Midwest,Metropolitan,56,Male,Married,40,SomeCollegeButNoDegree,LocalGov,1846.15
West,Metropolitan,69,Male,Not Married,44,MastersDegree,LocalGov,1153
West,Metropolitan,63,Male,Married,43,BachelorsDegree,LocalGov,2115
West,Metropolitan,33,Female,Married,43,BachelorsDegree,LocalGov,380
Midwest,Metropolitan,46,Female,Not Married,42,AssocDegAcadem,LocalGov,1338.4
West,Metropolitan,45,Female,Married,40,SomeCollegeButNoDegree,LocalGov,288.46
South,Metropolitan,64,Female,Not Married,44,MastersDegree,LocalGov,865
Midwest,Not Metropolitan,24,Female,Not Married,43,BachelorsDegree,LocalGov,538.46
Midwest,Metropolitan,55,Male,Married,39,HighSchoolDiploma,LocalGov,1442.3
South,Metropolitan,41,Female,Not Married,39,HighSchoolDiploma,LocalGov,610
Midwest,Metropolitan,44,Female,Married,41,AssocDegOccupVocat,LocalGov,524
South,Not Metropolitan,50,Female,Married,39,HighSchoolDiploma,LocalGov,520
West,Metropolitan,55,Male,Married,42,AssocDegAcadem,LocalGov,800
South,Metropolitan,62,Male,Married,42,AssocDegAcadem,LocalGov,500
West,Metropolitan,65,Female,Married,44,MastersDegree,LocalGov,1615.38
West,Metropolitan,29,Female,Not Married,43,BachelorsDegree,LocalGov,880
South,Metropolitan,49,Male,Married,43,BachelorsDegree,LocalGov,720
West,Metropolitan,37,Male,Married,40,SomeCollegeButNoDegree,LocalGov,1384.61
South,Metropolitan,65,Male,Married,43,BachelorsDegree,LocalGov,1884.61
Midwest,Not Metropolitan,36,Female,Married,43,BachelorsDegree,LocalGov,975
South,Metropolitan,27,Female,Married,43,BachelorsDegree,LocalGov,923.07
West,Metropolitan,45,Female,Married,44,MastersDegree,LocalGov,1826.92
Midwest,Metropolitan,34,Male,Married,43,BachelorsDegree,LocalGov,788.46
West,Not Metropolitan,61,Female,Not Married,43,BachelorsDegree,LocalGov,480
Northeast,Metropolitan,59,Female,Not Married,44,MastersDegree,LocalGov,1315
Northeast,Metropolitan,61,Male,Married,39,HighSchoolDiploma,LocalGov,2884.61
Northeast,Metropolitan,49,Male,Married,43,BachelorsDegree,LocalGov,1384.61
Northeast,Metropolitan,34,Female,Married,41,AssocDegOccupVocat,LocalGov,420
South,Metropolitan,31,Female,Married,43,BachelorsDegree,LocalGov,2500
South,Metropolitan,32,Male,Not Married,44,MastersDegree,LocalGov,1788.46
Northeast,Metropolitan,47,Female,Not Married,43,BachelorsDegree,LocalGov,302.32
South,Metropolitan,62,Male,Married,39,HighSchoolDiploma,LocalGov,720
Midwest,Metropolitan,62,Male,Married,44,MastersDegree,LocalGov,2884.61
Northeast,Not Metropolitan,41,Female,Married,44,MastersDegree,LocalGov,1230.76
Midwest,Not Metropolitan,53,Male,Married,39,HighSchoolDiploma,LocalGov,2884.61
West,Metropolitan,48,Male,Not Married,43,BachelorsDegree,LocalGov,1022.72
West,Not Metropolitan,46,Female,Not Married,39,HighSchoolDiploma,LocalGov,576.92
West,Metropolitan,57,Male,Married,39,HighSchoolDiploma,LocalGov,1192.3
South,Metropolitan,58,Female,Married,39,HighSchoolDiploma,LocalGov,362.5
Northeast,Metropolitan,30,Female,Not Married,43,BachelorsDegree,LocalGov,738
Northeast,Not Metropolitan,53,Female,Married,43,BachelorsDegree,LocalGov,576.92
Midwest,Not Metropolitan,41,Male,Not Married,39,HighSchoolDiploma,LocalGov,680
South,Metropolitan,52,Female,Not Married,44,MastersDegree,LocalGov,1153.84
South,Metropolitan,36,Male,Married,43,BachelorsDegree,LocalGov,1000
Midwest,Not Metropolitan,49,Female,Married,39,HighSchoolDiploma,LocalGov,1057
South,Metropolitan,54,Male,Married,44,MastersDegree,LocalGov,1053.23
Northeast,Not Metropolitan,53,Female,Not Married,39,HighSchoolDiploma,LocalGov,673.07
West,Metropolitan,44,Male,Married,42,AssocDegAcadem,LocalGov,1360
Northeast,Metropolitan,52,Male,Married,39,HighSchoolDiploma,LocalGov,650
West,Metropolitan,54,Female,Married,44,MastersDegree,LocalGov,1615.38
West,Metropolitan,43,Male,Not Married,44,MastersDegree,LocalGov,1750
Northeast,Metropolitan,55,Male,Married,44,MastersDegree,LocalGov,2307.69
West,Metropolitan,45,Male,Married,39,HighSchoolDiploma,LocalGov,475
South,Metropolitan,59,Female,Not Married,39,HighSchoolDiploma,LocalGov,1050
South,Not Metropolitan,57,Male,Married,39,HighSchoolDiploma,LocalGov,420
South,Not Metropolitan,54,Female,Married,43,BachelorsDegree,LocalGov,1153.84
Midwest,Metropolitan,37,Female,Married,44,MastersDegree,LocalGov,1100
Midwest,Metropolitan,46,Female,Married,44,MastersDegree,LocalGov,1307.69
Northeast,Metropolitan,26,Male,Not Married,43,BachelorsDegree,LocalGov,1442
Northeast,Metropolitan,55,Female,Married,44,MastersDegree,LocalGov,1500
South,Metropolitan,57,Male,Married,37,EleventhGrade,LocalGov,345
Midwest,Metropolitan,59,Female,Not Married,44,MastersDegree,LocalGov,1076.92
Northeast,Not Metropolitan,49,Female,Married,44,MastersDegree,LocalGov,1153.84
Northeast,Metropolitan,30,Female,Married,43,BachelorsDegree,LocalGov,923.07
South,Metropolitan,41,Male,Not Married,43,BachelorsDegree,LocalGov,1200
West,Metropolitan,50,Male,Not Married,44,MastersDegree,LocalGov,2884.61
South,Not Metropolitan,66,Female,Married,40,SomeCollegeButNoDegree,LocalGov,480.76
South,Metropolitan,55,Male,Married,39,HighSchoolDiploma,LocalGov,673.07
Midwest,Metropolitan,31,Male,Married,43,BachelorsDegree,LocalGov,692.3
South,Metropolitan,62,Female,Married,43,BachelorsDegree,LocalGov,769.23
South,Metropolitan,39,Female,Married,43,BachelorsDegree,LocalGov,846.15
Midwest,Metropolitan,55,Female,Married,39,HighSchoolDiploma,LocalGov,704
South,Metropolitan,43,Male,Married,43,BachelorsDegree,LocalGov,1000
Northeast,Metropolitan,39,Female,Not Married,43,BachelorsDegree,LocalGov,673.07
West,Not Identified,36,Female,Married,43,BachelorsDegree,LocalGov,692.3
Midwest,Metropolitan,48,Female,Not Married,44,MastersDegree,LocalGov,1403.84
Midwest,Not Metropolitan,63,Female,Married,39,HighSchoolDiploma,LocalGov,345
Midwest,Metropolitan,48,Male,Married,40,SomeCollegeButNoDegree,LocalGov,1538.46
Northeast,Metropolitan,61,Female,Married,44,MastersDegree,LocalGov,1153.84
Northeast,Metropolitan,52,Male,Married,42,AssocDegAcadem,LocalGov,1923.07
Midwest,Not Metropolitan,54,Male,Married,39,HighSchoolDiploma,LocalGov,376.92
West,Metropolitan,50,Male,Married,44,MastersDegree,LocalGov,1442.3
West,Metropolitan,56,Female,Married,43,BachelorsDegree,LocalGov,653.84
Northeast,Not Metropolitan,54,Female,Married,41,AssocDegOccupVocat,LocalGov,462
Midwest,Not Metropolitan,58,Male,Married,44,MastersDegree,LocalGov,1846
Midwest,Metropolitan,37,Female,Married,40,SomeCollegeButNoDegree,LocalGov,480
Northeast,Not Metropolitan,45,Female,Not Married,44,MastersDegree,LocalGov,673.07
South,Metropolitan,28,Female,Married,44,MastersDegree,LocalGov,1100
South,Metropolitan,34,Male,Not Married,40,SomeCollegeButNoDegree,LocalGov,440
Midwest,Not Metropolitan,31,Male,Married,43,BachelorsDegree,LocalGov,2884.61
Midwest,Not Metropolitan,36,Female,Not Married,39,HighSchoolDiploma,LocalGov,600
South,Metropolitan,55,Female,Married,44,MastersDegree,LocalGov,992.3
South,Not Metropolitan,39,Male,Married,43,BachelorsDegree,LocalGov,800
Northeast,Metropolitan,44,Male,Married,40,SomeCollegeButNoDegree,LocalGov,711
South,Metropolitan,57,Female,Married,44,MastersDegree,LocalGov,1250
South,Metropolitan,58,Female,Not Married,44,MastersDegree,LocalGov,1338
Midwest,Metropolitan,58,Male,Married,44,MastersDegree,LocalGov,657.5
Midwest,Metropolitan,50,Female,Married,43,BachelorsDegree,LocalGov,846.15
Midwest,Metropolitan,36,Female,Married,42,AssocDegAcadem,LocalGov,325
West,Metropolitan,46,Male,Married,44,MastersDegree,LocalGov,1461.53
Midwest,Metropolitan,40,Female,Married,43,BachelorsDegree,LocalGov,2884.61
South,Metropolitan,45,Male,Not Married,43,BachelorsDegree,LocalGov,1250
South,Metropolitan,80,Male,Married,43,BachelorsDegree,LocalGov,550
South,Metropolitan,35,Female,Married,43,BachelorsDegree,LocalGov,785
Midwest,Metropolitan,45,Male,Married,39,HighSchoolDiploma,LocalGov,1038
Northeast,Metropolitan,27,Female,Not Married,43,BachelorsDegree,LocalGov,634.61
West,Not Metropolitan,32,Female,Married,39,HighSchoolDiploma,LocalGov,769
South,Metropolitan,36,Male,Married,39,HighSchoolDiploma,LocalGov,924
South,Metropolitan,38,Male,Married,39,HighSchoolDiploma,LocalGov,461.53
Midwest,Metropolitan,33,Male,Married,44,MastersDegree,LocalGov,1076.92
West,Metropolitan,50,Female,Married,44,MastersDegree,LocalGov,800
Midwest,Metropolitan,30,Male,Married,39,HighSchoolDiploma,LocalGov,720
Northeast,Metropolitan,29,Male,Not Married,43,BachelorsDegree,LocalGov,769
South,Metropolitan,54,Female,Not Married,43,BachelorsDegree,LocalGov,807
Midwest,Metropolitan,48,Male,Married,44,MastersDegree,LocalGov,673.07
Midwest,Metropolitan,64,Male,Not Married,43,BachelorsDegree,LocalGov,1040
West,Metropolitan,47,Female,Married,39,HighSchoolDiploma,LocalGov,440
South,Metropolitan,54,Female,Married,43,BachelorsDegree,LocalGov,863.44
West,Metropolitan,42,Female,Married,44,MastersDegree,LocalGov,634.61
Midwest,Metropolitan,56,Female,Not Married,40,SomeCollegeButNoDegree,LocalGov,673.07
West,Metropolitan,60,Female,Not Married,44,MastersDegree,LocalGov,1038.46
Midwest,Metropolitan,34,Female,Married,44,MastersDegree,LocalGov,961
South,Not Metropolitan,29,Female,Not Married,39,HighSchoolDiploma,LocalGov,942
Northeast,Not Metropolitan,28,Female,Married,42,AssocDegAcadem,LocalGov,807
South,Metropolitan,24,Female,Not Married,43,BachelorsDegree,LocalGov,826.92
Northeast,Metropolitan,36,Female,Married,43,BachelorsDegree,LocalGov,1096.15
South,Metropolitan,35,Male,Married,43,BachelorsDegree,LocalGov,960
West,Metropolitan,31,Male,Married,40,SomeCollegeButNoDegree,LocalGov,416.66
Midwest,Not Metropolitan,44,Female,Married,36,TenthGrade,LocalGov,384.61
West,Metropolitan,54,Female,Married,44,MastersDegree,LocalGov,1369.23
South,Metropolitan,24,Female,Not Married,43,BachelorsDegree,LocalGov,1100
Northeast,Metropolitan,59,Male,Married,40,SomeCollegeButNoDegree,LocalGov,2115.38
Midwest,Metropolitan,56,Male,Married,39,HighSchoolDiploma,LocalGov,846
Midwest,Not Metropolitan,32,Female,Not Married,44,MastersDegree,LocalGov,788.46
Midwest,Not Metropolitan,49,Female,Married,39,HighSchoolDiploma,LocalGov,751.6
Northeast,Metropolitan,56,Female,Married,44,MastersDegree,LocalGov,1800
West,Not Metropolitan,44,Male,Not Married,40,SomeCollegeButNoDegree,LocalGov,1153.84
Northeast,Metropolitan,29,Male,Not Married,39,HighSchoolDiploma,LocalGov,1200
Midwest,Metropolitan,38,Male,Married,41,AssocDegOccupVocat,LocalGov,1115.38
South,Metropolitan,46,Female,Married,44,MastersDegree,LocalGov,2884.61
South,Not Metropolitan,42,Female,Married,43,BachelorsDegree,LocalGov,992
Northeast,Metropolitan,37,Female,Married,42,AssocDegAcadem,LocalGov,1750
Northeast,Metropolitan,43,Female,Married,44,MastersDegree,LocalGov,1519.23
Northeast,Metropolitan,24,Male,Not Married,40,SomeCollegeButNoDegree,LocalGov,738
Midwest,Metropolitan,49,Male,Married,39,HighSchoolDiploma,LocalGov,706.8
West,Metropolitan,63,Male,Married,40,SomeCollegeButNoDegree,LocalGov,1403.84
Midwest,Not Metropolitan,45,Male,Married,39,HighSchoolDiploma,LocalGov,1192
South,Metropolitan,44,Male,Not Married,39,HighSchoolDiploma,LocalGov,360
West,Metropolitan,57,Female,Married,40,SomeCollegeButNoDegree,LocalGov,898.82
West,Metropolitan,41,Female,Married,44,MastersDegree,LocalGov,1423.07
South,Metropolitan,53,Male,Married,43,BachelorsDegree,LocalGov,1615.38
West,Metropolitan,60,Male,Married,40,SomeCollegeButNoDegree,LocalGov,923
South,Metropolitan,31,Male,Not Married,40,SomeCollegeButNoDegree,LocalGov,415
Northeast,Metropolitan,47,Female,Married,44,MastersDegree,LocalGov,1538.46
South,Metropolitan,57,Female,Not Married,43,BachelorsDegree,LocalGov,1192.3
Midwest,Metropolitan,48,Female,Married,41,AssocDegOccupVocat,LocalGov,692.3
South,Metropolitan,53,Female,Not Married,39,HighSchoolDiploma,LocalGov,473.2
Northeast,Metropolitan,58,Female,Married,39,HighSchoolDiploma,LocalGov,300
